t_s,pore_pressure_kpa,dataset_id,sensor_id,p0_kpa,Pu_train_kpa,h_m,cv_train_m2s,R_obs
24620.0,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.01,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.02,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.03,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.04,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.05,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.06,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.07,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.08,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.09,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.1,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.11,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24620.12,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.13,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.14,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.15,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.16,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.17,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.18,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.19,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.2,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.21,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.22,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.23,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.24,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.25,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.26,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.27,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.28,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.29,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.3,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.31,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
