Reid, M.E., Brien, D.L., and LaHusen, Richard G., Landslide monitoring data for the Cleveland Corral landslide near U.S. Highway 50, El Dorado County, California
U.S. Geological Survey data release: https://doi.org/10.5066/P1P9DMFX

"sensor information for Cleveland Corral landslide real-time monitoring data, El Dorado County, California"

instrument name,location,parameter measured,instrument ID,units of measurement,start date,end date,manufacturer,model,serial number,piezometer construction type,depth: ground to sensor diaphragm (m) ,range of sensor,notes
upp upslope extensometer E6,upper site (upp),displacement,upp_E6,cm,11/19/1998,1/16/2000,Unimeasure,HX-PA-400,28040268,,,0 to 1016 cm,
upp downslope extensometer E7,upper site (upp),displacement,upp_E7,cm,11/19/1998,7/18/1999,Unimeasure,HX-PA-500,27039387,,,0 to 1270 cm,


mid upslope extensometer E1,middle site (mid),displacement,mid_E1,cm,12/12/1997,7/26/2002,Unimeasure,HX-VPA-400,27090342,,,0 to 1016 cm,

mid downslope extensometer E2_A,middle site (mid),displacement,mid_E2_A,cm,3/31/1997,7/26/2002,USGS,,,,,,St. Pauli fire destroyed site 7/26/02
mid downslope extensometer E2_B,middle site (mid),displacement,mid_E2_B,cm,10/18/2002,11/29/2005,Unimeasure,HX-PA-400,29030259,,,0 to 1016 cm,broken instrument
,,,,cm,11/29/2005,6/8/2007,Unimeasure,HX-VPA-400,27090342,,,0 to 1016 cm,broken instrument
,,,,cm,6/12/2007,1/11/2008,Unimeasure,HX-PA-400,29030259,,,0 to 1016 cm,broken instrument
,,,,cm,1/11/2008,4/24/2008,Unimeasure,HX-VPA-400,27090342,,,0 to 1016 cm,broken instrument
,,,,cm,4/24/2008,2/12/2009,Unimeasure,HX-PA-400,29030259,,,0 to 1016 cm,broken instrument
,,,,cm,2/12/2009,6/1/2016,Unimeasure,HX-VPA-400,27090342,,,0 to 1016 cm,broken cable
,,,,cm,6/1/2016,9/25/2018,Unimeasure,HX-PA-400,39070751,,,,

mid shallow open tube piezometer P1,middle site (mid),groundwater pressure head,mid_P1,cm,10/16/1997,4/27/2006,USGS,uses Honeywell 26PCCFA3D,USGS5,"open tube PVC, slotted near bottom",1.79,0 to 15 psi,sensor may have sunk up to 4 cm over time
,,,,cm,5/4/2006,9/25/2018,USGS,uses Honeywell 26PCCFA3D,USGSCT2,,1.82,0 to 15 psi,

mid deep open tube piezometer P2,middle site (mid),groundwater pressure head,mid_P2,cm,10/16/1997,9/25/2018,USGS,uses Honeywell 26PCCFA3D,USGS6,"open tube PVC, slotted near bottom",3.69,0 to 15 psi,sensor may have sunk up to 4 cm over time

mid deep buried pressure transducer P3,middle site (mid),groundwater pressure head,mid_P3,cm,6/26/1997,1/10/2001,USGS,uses Honeywell 26PCCFA3D,USGS31,direct burial - no open tube,2.40,0 to 15 psi,

mid deep driven piezometer P4,middle site (mid),groundwater pressure head,mid_P4,cm,4/7/2004,5/18/2005,Micron,MP100E,66273,open tube steel pipe with tip,4.77,0 to 10 psi,initial installation
,,,,cm,5/18/2005,8/2/2006,Micron,MP100E,67671,,4.77,0 to 10 psi,replaced sensor and amplifier
,,,,cm,8/2/2006,12/11/2008,Micron,MP100E,67674,,4.77,0 to 10 psi,replaced sensor and amplifier
,,,,cm,12/11/2008,3/6/2009,Micron,MP100E,73522,,4.77,0 to 10 psi,replaced sensor and amplifier
,,,,cm,3/6/2009,11/4/2009,Micron,MP100E,73520,,4.77,0 to 10 psi,replaced sensor and amplifier
,,,,cm,11/4/2009,12/17/2009,Micron,MP100E,81043,,4.77,0 to 10 psi,replaced sensor
,,,,cm,12/17/2009,3/4/2010,Micron,MP100E,73520,,4.77,0 to 10 psi,replaced sensor and amplifier
,,,,cm,3/4/2010,12/1/2010,Micron,MP100E,66272,,4.77,0 to 10 psi,replaced sensor
,,,,cm,12/1/2010,10/25/2011,Micron,MP100E,83212,,4.77,0 to 10 psi,replaced sensor

mid upslope deep driven piezometer P5,middle site (mid),groundwater pressure head,mid_P5,cm,2/5/2013,11/11/2014,GE Druck,PCDR1730,2631015,open tube steel pipe with tip,4.47,0 to 10 psi,installation with new amplifier and data acquisition system
,,,,cm,11/11/2014,11/18/2016,GE Druck,PCDR1730,2631015,,,0 to 10 psi,replaced amplifier
,,,,cm,11/18/2016,9/25/2018,GE Druck,PCDR1730,2631016,,,0 to 10 psi,

mid downslope deep driven piezometer P6,middle site (mid),groundwater pressure head,mid_P6,cm,10/26/2011,9/25/2018,GE Druck,PCDR1730,2631022,open tube steel pipe with tip,4.47,0 to 10 psi,sand-filled tip

mid rain gauge R,middle site (mid),precipitation,mid_R,mm,3/22/1997,7/26/2002,Pronamic,Rain-O-Matic Professional,not applicable,,,1 tip = 0.01 inches = 0.254 mm,St. Pauli fire destroyed site 7/26/02
,,,,mm,10/18/2002,1/22/2016,Pronamic,Rain-O-Matic Professional,not applicable,,,1 tip = 0.01 inches = 0.254 mm,"mechanical failure of rain gage 1/22/16, rainfall for 1/22/16 - 1/27/16 estimated from Sly Park rain gage"
,,,,mm,1/27/2016,5/18/2017,Pronamic,Rain-O-Matic Professional,not applicable,,,1 tip = 0.01 inches = 0.254 mm,
,,,,mm,5/18/2017,9/25/2018,Pronamic,Rain-O-Matic Professional,not applicable,,,,

