"Reid, M.E., Brien, D.L., and LaHusen, Richard G., Landslide monitoring data for the Cleveland Corral landslide near U.S. Highway 50, El Dorado County, California"
U.S. Geological Survey data release: https://doi.org/10.5066/P1P9DMFX
daily rainfall maxima and daily medians other sensors at toe station, 2002 - 2018
date,mid_downslope_extensometer_cm_mid_E2_B,mid_shallow_piezometer_cm_mid_P1,mid_deep_open_tube_piezometer_cm_mid_P2,mid_deep_driven_piezometer_cm_mid_P4,mid_upslope_mid_deep_driven_piezometer_cm_mid_P5,mid_downslope_mid_deep_driven_piezometer_cm_mid_P6,mid_precipitation_mm_mid_R
10/18/2002,0,0.3,2.1,,,,0
10/19/2002,0,0.3,2,,,,0
10/20/2002,0,0.3,2,,,,0
10/21/2002,0,0.3,1.8,,,,0
10/22/2002,0,0.3,1.7,,,,0
10/23/2002,0.2,0.3,1.7,,,,0
10/24/2002,0.2,0.3,1.6,,,,0
10/25/2002,0.2,0.3,1.5,,,,0
10/26/2002,0.2,0.3,1.4,,,,0
10/27/2002,0.2,0.3,1.4,,,,0
10/28/2002,0.2,0.3,1.3,,,,0
10/29/2002,0.2,0.3,1.3,,,,0
10/30/2002,0.2,0.3,1.2,,,,0
10/31/2002,0.2,0.3,1.2,,,,0
11/1/2002,0.2,0.3,1.2,,,,0
11/2/2002,0.2,0.3,1.2,,,,0
11/3/2002,0.2,0.3,1.2,,,,0
11/4/2002,0.2,0.35,1.2,,,,0
11/5/2002,0.2,0.4,1.2,,,,0
11/6/2002,0.2,0.3,1.2,,,,0
11/7/2002,0.4,0.3,1.2,,,,35.81
11/8/2002,0.4,3,1.2,,,,138.94
11/9/2002,0.4,0.6,1.2,,,,151.89
11/10/2002,0.6,27.05,1.2,,,,178.82
11/11/2002,0.6,6.65,1.2,,,,178.82
11/12/2002,0.6,-0.7,1.2,,,,178.82
11/13/2002,0.6,-1.5,1.2,,,,179.07
11/14/2002,0.6,-2.5,1.2,,,,179.07
11/15/2002,0.8,-2.4,1.2,,,,179.07
11/16/2002,0.8,-2.5,1.1,,,,179.07
11/17/2002,0.6,-2.6,1,,,,179.07
11/18/2002,0.6,-2.6,1.1,,,,179.07
11/19/2002,0.6,-2.6,1,,,,179.07
11/20/2002,0.6,-2.6,0.9,,,,179.07
11/21/2002,0.4,-2.7,0.9,,,,179.07
11/22/2002,0.6,-2.6,0.9,,,,179.07
11/23/2002,0.6,-2.6,0.9,,,,179.07
11/24/2002,0.6,-2.6,0.9,,,,179.07
11/25/2002,0.6,-2.6,0.9,,,,179.07
11/26/2002,0.6,-2.7,0.9,,,,179.07
11/27/2002,0.6,-2.5,0.9,,,,179.07
11/28/2002,0.4,-2.6,0.9,,,,179.07
11/29/2002,0.4,-2.6,0.9,,,,179.07
11/30/2002,0.6,-2.6,0.9,,,,179.07
12/1/2002,0.6,-2.6,0.9,,,,179.07
12/2/2002,0.6,-2.6,0.9,,,,179.07
12/3/2002,0.4,-2.7,0.9,,,,179.07
12/4/2002,0.4,-2.8,0.8,,,,179.07
12/5/2002,0.4,-2.7,0.8,,,,179.07
12/6/2002,0.4,-2.6,0.8,,,,179.07
12/7/2002,0.4,-2.7,0.7,,,,179.07
12/8/2002,0.4,-2.7,0.6,,,,179.07
12/9/2002,0.4,-2.6,0.6,,,,179.07
12/10/2002,0.4,-2.3,0.7,,,,181.1
12/11/2002,0.4,-1.1,0.6,,,,181.1
12/12/2002,0.4,-1.3,0.6,,,,181.1
12/13/2002,0.4,-1.7,0.6,,,,220.47
12/14/2002,0.4,0.1,0.6,,,,270
12/15/2002,0.6,107.4,0.6,,,,282.96
12/16/2002,0.6,141.7,0.6,,,,368.81
12/17/2002,1,135.3,0.6,,,,382.78
12/18/2002,1,124.3,3,,,,394.72
12/19/2002,1,109.8,45.25,,,,395.22
12/20/2002,1,78.9,73.3,,,,407.67
12/21/2002,1,122.5,81.8,,,,437.13
12/22/2002,1,116.9,90.1,,,,442.21
12/23/2002,1,108.7,99,,,,442.21
12/24/2002,1,94.2,100.2,,,,442.21
12/25/2002,1,88.7,101.8,,,,442.21
12/26/2002,1,89.75,101.4,,,,449.33
12/27/2002,0.8,106.3,102.7,,,,451.1
12/28/2002,0.8,104.55,119.35,,,,454.91
12/29/2002,1,133.7,118.5,,,,487.68
12/30/2002,1,129.4,119.8,,,,500.38
12/31/2002,1,142.3,129.4,,,,523.49
1/1/2003,0.8,133.8,134.6,,,,523.49
1/2/2003,0.8,121,140.3,,,,523.49
1/3/2003,0.8,113.6,144.7,,,,523.49
1/4/2003,0.6,103.8,146.9,,,,523.49
1/5/2003,0.6,89.4,149.2,,,,523.49
1/6/2003,0.6,84.6,153.2,,,,523.49
1/7/2003,0.6,78.7,152.3,,,,523.49
1/8/2003,0.6,73.8,155.7,,,,523.49
1/9/2003,0.6,68.95,157,,,,530.1
1/10/2003,0.6,65.9,155.4,,,,535.43
1/11/2003,0.6,67.3,152,,,,535.69
1/12/2003,0.6,68.5,149.8,,,,535.69
1/13/2003,0.6,66,148.9,,,,535.69
1/14/2003,0.6,65.4,151.8,,,,535.69
1/15/2003,0.6,61.8,151.6,,,,535.69
1/16/2003,0.6,58.2,150.4,,,,535.69
1/17/2003,0.4,56.6,152.9,,,,535.69
1/18/2003,0.4,53.7,153,,,,535.69
1/19/2003,0.4,51.1,152.6,,,,535.69
1/20/2003,0.4,48.7,152.2,,,,535.69
1/21/2003,0.4,45.9,150.4,,,,538.99
1/22/2003,0.4,43.2,147.4,,,,545.34
1/23/2003,0.4,41.5,145.4,,,,556.26
1/24/2003,0.4,40.8,145,,,,556.26
1/25/2003,0.6,41.2,143.4,,,,556.51
1/26/2003,,,,,,,
1/27/2003,0.6,43.2,147.7,,,,557.78
1/28/2003,0.6,41.7,147.8,,,,557.78
1/29/2003,0.4,39,143.9,,,,557.78
1/30/2003,0.4,37.5,141.7,,,,557.78
1/31/2003,0.4,37.2,142.9,,,,557.78
2/1/2003,0.6,38.3,149.8,,,,565.15
2/2/2003,0.6,34.8,147.7,,,,565.66
2/3/2003,0.6,32.7,144.6,,,,565.66
2/4/2003,0.4,32.4,145.1,,,,565.66
2/5/2003,0.4,31.9,147.2,,,,565.66
2/6/2003,0.4,30.1,145.7,,,,565.66
2/7/2003,0.4,28.3,144.3,,,,565.66
2/8/2003,0.4,27.4,143.3,,,,565.66
2/9/2003,0.4,25,138.9,,,,565.66
2/10/2003,0.4,24.8,138.2,,,,565.66
2/11/2003,0.4,23.8,142,,,,565.66
2/12/2003,0.4,23.75,143.4,,,,566.67
2/13/2003,0.4,21.9,143.5,,,,585.98
2/14/2003,0.4,19.1,137.5,,,,586.23
2/15/2003,0.4,18.4,134.9,,,,586.49
2/16/2003,0.6,21.45,132.2,,,,615.7
2/17/2003,0.6,63.35,131.6,,,,615.7
2/18/2003,0.6,60.3,139.15,,,,615.7
2/19/2003,0.6,57.3,149.8,,,,622.55
2/20/2003,0.6,56.4,154.8,,,,623.06
2/21/2003,0.6,54.1,154.4,,,,623.06
2/22/2003,0.6,54.5,159.8,,,,623.06
2/23/2003,,,,,,,
2/24/2003,0.6,49,171.1,,,,626.11
2/25/2003,0.6,45.9,170.8,,,,628.9
2/26/2003,0.6,42.8,168,,,,631.7
2/27/2003,0.6,39.9,166.05,,,,639.83
2/28/2003,0.6,39.65,162.7,,,,639.83
3/1/2003,0.6,41.4,162,,,,639.83
3/2/2003,0.6,39.6,159.1,,,,639.83
3/3/2003,0.6,41.2,163.4,,,,640.08
3/4/2003,0.6,39.95,167,,,,640.08
3/5/2003,0.6,36,162,,,,640.08
3/6/2003,0.6,34.1,158.5,,,,640.08
3/7/2003,0.6,33.4,158.8,,,,640.08
3/8/2003,0.4,30.9,156.05,,,,640.08
3/9/2003,0.4,29.3,152.9,,,,640.08
3/10/2003,0.4,28.8,153,,,,640.08
3/11/2003,0.4,29.1,155.4,,,,640.08
3/12/2003,0.4,27.4,156.3,,,,640.08
3/13/2003,0.4,26.4,157.8,,,,640.08
3/14/2003,0.4,24.6,158.1,,,,655.07
3/15/2003,0.4,41.7,162.2,,,,684.28
3/16/2003,0.6,62,162.3,,,,686.56
3/17/2003,0.6,59.6,163.3,,,,689.36
3/18/2003,0.6,57.4,162.5,,,,689.36
3/19/2003,0.6,54.1,165.9,,,,691.64
3/20/2003,0.6,50.4,168.2,,,,697.48
3/21/2003,0.8,49.8,169.1,,,,697.48
3/22/2003,0.6,48,171.2,,,,697.48
3/23/2003,0.6,52.85,175.3,,,,721.11
3/24/2003,0.8,84.9,177.3,,,,721.11
3/25/2003,0.6,74.8,178.25,,,,721.11
3/26/2003,0.6,89.9,183.85,,,,735.58
3/27/2003,0.8,84.35,193.05,,,,735.58
3/28/2003,0.8,75.1,196.8,,,,735.58
3/29/2003,0.6,66.3,194.5,,,,735.58
3/30/2003,0.6,61.8,195.9,,,,735.58
3/31/2003,0.6,60.1,202.75,,,,735.58
4/1/2003,0.6,56.55,210,,,,750.32
4/2/2003,0.6,59.85,208.85,,,,762.25
4/3/2003,0.6,96.9,204.95,,,,764.03
4/4/2003,0.9,128.2,213.35,,,,776.99
4/5/2003,1,124.2,219.5,,,,780.29
4/6/2003,0.8,114.7,226.8,,,,781.3
4/7/2003,0.8,111,230.8,,,,781.3
4/8/2003,0.8,90.6,232.2,,,,781.3
4/9/2003,0.8,80.6,235.6,,,,781.3
4/10/2003,0.8,72,235.6,,,,781.3
4/11/2003,0.8,68.6,234,,,,781.3
4/12/2003,0.8,66.55,235.1,,,,835.66
4/13/2003,1,148.1,238.3,,,,883.16
4/14/2003,1,142.55,248.3,,,,884.68
4/15/2003,1,138.5,252.4,,,,884.68
4/16/2003,1,134.5,256.1,,,,886.97
4/17/2003,1,137.9,261.9,,,,896.62
4/18/2003,1,133,263.2,,,,897.13
4/19/2003,1,126.85,263.7,,,,897.13
4/20/2003,1,123.9,265.7,,,,897.13
4/21/2003,1,133.8,271,,,,909.57
4/22/2003,1,128.1,270.8,,,,909.57
4/23/2003,1,123.6,269.1,,,,909.57
4/24/2003,1,150.5,270.5,,,,940.56
4/25/2003,1.2,152.6,271.4,,,,981.2
4/26/2003,1.4,144.1,270.1,,,,981.71
4/27/2003,1.8,131.25,272.9,,,,981.96
4/28/2003,2.3,141.2,272.2,,,,1011.68
4/29/2003,2.5,135.6,268.7,,,,1019.81
4/30/2003,3.1,133.4,266.35,,,,1021.08
5/1/2003,3.9,127.5,266.8,,,,1021.08
5/2/2003,4.3,127.3,269,,,,1024.13
5/3/2003,5.2,134.8,267,,,,1047.75
5/4/2003,6.6,135.1,258.4,,,,1052.58
5/5/2003,7.8,126.45,259.3,,,,1052.58
5/6/2003,9.2,124.2,263,,,,1052.58
5/7/2003,10.7,123.3,264.4,,,,1057.91
5/8/2003,11.9,141.5,264.6,,,,1069.59
