"Reid, M.E., Brien, D.L., and LaHusen, Richard G., Landslide monitoring data for the Cleveland Corral landslide near U.S. Highway 50, El Dorado County, California"
U.S. Geological Survey data release: https://doi.org/10.5066/P1P9DMFX
daily medians for toe station, 2003 - 2017
date,toe_extensometerA_cm_toe_E5_A,toe_extensometerB_cm_toe_E5_B,toe_extensometerC_cm_toe_E5_C,toe_shallow_piezometerA_cm_toe_P7_A,toe_shallow_piezometerB_cm_toe_P7_B,toe_east_piezometerA_cm_toe_P8_A,toe_east_piezometerB_cm_toe_P8_B,toe_east_piezometerC_cm_toe_P8_C,toe_east_piezometerD_cm_toe_P8_D,toe_west_piezometerA_cm_toe_P9_A,toe_west_piezometerB_cm_toe_P9_B,toe_west_piezometerC_cm_toe_P9_C,toe_west_piezometerD_cm_toe_P9_D,toe_volumetric_water_contentA_toe_M1_A,toe_volumetric_water_contentB_toe_M1_B
2/21/2003,0.5,,,,,,,,,,,,,,
2/22/2003,0.3,,,,,,,,,,,,,,
2/23/2003,,,,,,,,,,,,,,,
2/24/2003,0,,,,,,,,,,,,,,
2/25/2003,0.3,,,,,,,,,,,,,,
2/26/2003,0.3,,,,,,,,,,,,,,
2/27/2003,0,,,,,,,,,,,,,,
2/28/2003,0.3,,,,,,,,,,,,,,
3/1/2003,0.3,,,,,,,,,,,,,,
3/2/2003,0.3,,,,,,,,,,,,,,
3/3/2003,0,,,,,,,,,,,,,,
3/4/2003,0,,,,,,,,,,,,,,
3/5/2003,0,,,,,,,,,,,,,,
3/6/2003,0.3,,,,,,,,,,,,,,
3/7/2003,0.8,,,,,,,,,,,,,,
3/8/2003,0.5,,,,,,,,,,,,,,
3/9/2003,0.8,,,,,,,,,,,,,,
3/10/2003,0.5,,,,,,,,,,,,,,
3/11/2003,0.3,,,,,,,,,,,,,,
3/12/2003,0.5,,,,,,,,,,,,,,
3/13/2003,1.3,,,,,,,,,,,,,,
3/14/2003,1.6,,,,,,,,,,,,,,
3/15/2003,1.8,,,,,,,,,,,,,,
3/16/2003,1.8,,,,,,,,,,,,,,
3/17/2003,1.6,,,,,,,,,,,,,,
3/18/2003,0.8,,,,,,,,,,,,,,
3/19/2003,1,,,,,,,,,,,,,,
3/20/2003,0.8,,,,,,,,,,,,,,
3/21/2003,1,,,,,,,,,,,,,,
3/22/2003,1.6,,,,,,,,,,,,,,
3/23/2003,1.3,,,,,,,,,,,,,,
3/24/2003,1.3,,,,,,,,,,,,,,
3/25/2003,1.3,,,,,,,,,,,,,,
3/26/2003,1,,,,,,,,,,,,,,
3/27/2003,1.3,,,,,,,,,,,,,,
3/28/2003,1.3,,,,,,,,,,,,,,
3/29/2003,1.3,,,,,,,,,,,,,,
3/30/2003,1.3,,,,,,,,,,,,,,
3/31/2003,1.3,,,,,,,,,,,,,,
4/1/2003,1,,,,,,,,,,,,,,
4/2/2003,0,,,,,,,,,,,,,,
4/3/2003,-0.3,,,,,,,,,,,,,,
4/4/2003,1.3,,,,,,,,,,,,,,
4/5/2003,0.3,,,,,,,,,,,,,,
4/6/2003,-0.3,,,,,,,,,,,,,,
4/7/2003,3.4,,,,,,,,,,,,,,
4/8/2003,3.4,,,,,,,,,,,,,,
4/9/2003,3.55,,,,,,,,,,,,,,
4/10/2003,3.4,,,,,,,,,,,,,,
4/11/2003,3.1,,,,,,,,,,,,,,
4/12/2003,2.9,,,,,,,,,,,,,,
4/13/2003,7,,,,,,,,,,,,,,
4/14/2003,11.7,,,,,,,,,,,,,,
4/15/2003,14.9,,,,,,,,,,,,,,
4/16/2003,15.9,,,,,,,,,,,,,,
4/17/2003,18.4,,,,,,,,,,,,,,
4/18/2003,21.9,,,,,,,,,,,,,,
4/19/2003,24.3,,,,,,,,,,,,,,
4/20/2003,27.7,,,,,,,,,,,,,,
4/21/2003,28.4,,,,,,,,,,,,,,
4/22/2003,34.5,,,,,,,,,,,,,,
4/23/2003,37.8,,,,,,,,,,,,,,
4/24/2003,39.7,,,,,,,,,,,,,,
4/25/2003,50.1,,,,,,,,,,,,,,
4/26/2003,58.7,,,,,,,,,,,,,,
4/27/2003,65.5,,,,,,,,,,,,,,
4/28/2003,68.6,,,,,,,,,,,,,,
4/29/2003,77,,,,,,,,,,,,,,
4/30/2003,84.6,,,,,,,,,,,,,,
5/1/2003,90,,,,,,,,,,,,,,
5/2/2003,95.3,,,,,,,,,,,,,,
5/3/2003,101.8,,,,,,,,,,,,,,
5/4/2003,110.1,,,,,,,,,,,,,,
5/5/2003,116.4,,,,,,,,,,,,,,
5/6/2003,120.8,,,,,,,,,,,,,,
5/7/2003,122.7,,,,,,,,,,,,,,
5/8/2003,124.5,,,,,,,,,,,,,,
5/9/2003,136.8,,,,,,,,,,,,,,
5/10/2003,151.1,,,,,,,,,,,,,,
5/11/2003,158.95,,,,,,,,,,,,,,
5/12/2003,163.1,,,,,,,,,,,,,,
5/13/2003,164.7,,,,,,,,,,,,,,
5/14/2003,165.2,,,,,,,,,,,,,,
5/15/2003,167.6,,,,,,,,,,,,,,
5/16/2003,167.8,,,,,,,,,,,,,,
5/17/2003,168.9,,,,,,,,,,,,,,
5/18/2003,170.2,,,,,,,,,,,,,,
5/19/2003,170.2,,,,,,,,,,,,,,
5/20/2003,170.2,,,,,,,,,,,,,,
5/21/2003,170.2,,,,,,,,,,,,,,
5/22/2003,170.4,,,,,,,,,,,,,,
5/23/2003,170.3,,,,,,,,,,,,,,
5/24/2003,170.2,,,,,,,,,,,,,,
5/25/2003,170.2,,,,,,,,,,,,,,
5/26/2003,170.85,,,,,,,,,,,,,,
5/27/2003,171.5,,,,,,,,,,,,,,
5/28/2003,171.2,,,,,,,,,,,,,,
5/29/2003,171.2,,,,,,,,,,,,,,
5/30/2003,171.1,,,,,,,,,,,,,,
5/31/2003,170.7,,,,,,,,,,,,,,
6/1/2003,170.7,,,,,,,,,,,,,,
6/2/2003,171.2,,,,,,,,,,,,,,
6/3/2003,171,,,,,,,,,,,,,,
6/4/2003,171.2,,,,,,,,,,,,,,
6/5/2003,170.7,,,,,,,,,,,,,,
6/6/2003,171,,,,,,,,,,,,,,
6/7/2003,170.7,,,,,,,,,,,,,,
6/8/2003,171.2,,,,,,,,,,,,,,
6/9/2003,170.7,,,,,,,,,,,,,,
6/10/2003,170.85,,,,,,,,,,,,,,
6/11/2003,171.2,,,,,,,,,,,,,,
6/12/2003,170.7,,,,,,,,,,,,,,
6/13/2003,170.7,,,,,,,,,,,,,,
6/14/2003,171.2,,,,,,,,,,,,,,
6/15/2003,170.7,,,,,,,,,,,,,,
6/16/2003,171,,,,,,,,,,,,,,
6/17/2003,171.2,,,,,,,,,,,,,,
6/18/2003,171.2,,,,,,,,,,,,,,
6/19/2003,171.2,,,,,,,,,,,,,,
6/20/2003,171,,,,,,,,,,,,,,
6/21/2003,170.7,,,,,,,,,,,,,,
6/22/2003,171.5,,,,,,,,,,,,,,
6/23/2003,171.7,,,,,,,,,,,,,,
6/24/2003,172,,,,,,,,,,,,,,
6/25/2003,171.7,,,,,,,,,,,,,,
6/26/2003,171.7,,,,,,,,,,,,,,
6/27/2003,172.3,,,,,,,,,,,,,,
6/28/2003,171.7,,,,,,,,,,,,,,
6/29/2003,171.7,,,,,,,,,,,,,,
6/30/2003,172,,,,,,,,,,,,,,
7/1/2003,171.85,,,,,,,,,,,,,,
7/2/2003,171.7,,,,,,,,,,,,,,
7/3/2003,171.7,,,,,,,,,,,,,,
7/4/2003,171.7,,,,,,,,,,,,,,
7/5/2003,172,,,,,,,,,,,,,,
7/6/2003,172,,,,,,,,,,,,,,
7/7/2003,172,,,,,,,,,,,,,,
7/8/2003,172,,,,,,,,,,,,,,
7/9/2003,172.3,,,,,,,,,,,,,,
7/10/2003,172.3,,,,,,,,,,,,,,
7/11/2003,172.3,,,,,,,,,,,,,,
7/12/2003,172,,,,,,,,,,,,,,
7/13/2003,172,,,,,,,,,,,,,,
7/14/2003,172,,,,,,,,,,,,,,
7/15/2003,172,,,,,,,,,,,,,,
7/16/2003,172.3,,,,,,,,,,,,,,
7/17/2003,172,,,,,,,,,,,,,,
7/18/2003,172,,,,,,,,,,,,,,
7/19/2003,172,,,,,,,,,,,,,,
7/20/2003,172,,,,,,,,,,,,,,
7/21/2003,172.3,,,,,,,,,,,,,,
7/22/2003,172.15,,,,,,,,,,,,,,
7/23/2003,172.3,,,,,,,,,,,,,,
7/24/2003,172.3,,,,,,,,,,,,,,
7/25/2003,172.3,,,,,,,,,,,,,,
7/26/2003,172.4,,,,,,,,,,,,,,
7/27/2003,172.3,,,,,,,,,,,,,,
7/28/2003,172,,,,,,,,,,,,,,
7/29/2003,172.8,,,,,,,,,,,,,,
7/30/2003,172.3,,,,,,,,,,,,,,
7/31/2003,171.7,,,,,,,,,,,,,,
8/1/2003,172.3,,,,,,,,,,,,,,
8/2/2003,171.7,,,,,,,,,,,,,,
8/3/2003,171.85,,,,,,,,,,,,,,
8/4/2003,172.15,,,,,,,,,,,,,,
8/5/2003,171.85,,,,,,,,,,,,,,
8/6/2003,171.7,,,,,,,,,,,,,,
8/7/2003,172,,,,,,,,,,,,,,
8/8/2003,171.85,,,,,,,,,,,,,,
8/9/2003,171.7,,,,,,,,,,,,,,
8/10/2003,172,,,,,,,,,,,,,,
8/11/2003,172.3,,,,,,,,,,,,,,
8/12/2003,171.7,,,,,,,,,,,,,,
8/13/2003,172.4,,,,,,,,,,,,,,
8/14/2003,172.3,,,,,,,,,,,,,,
8/15/2003,172,,,,,,,,,,,,,,
8/16/2003,173.3,,,,,,,,,,,,,,
8/17/2003,171.7,,,,,,,,,,,,,,
8/18/2003,171.7,,,,,,,,,,,,,,
8/19/2003,171.7,,,,,,,,,,,,,,
8/20/2003,171.7,,,,,,,,,,,,,,
8/21/2003,171.7,,,,,,,,,,,,,,
8/22/2003,171.7,,,,,,,,,,,,,,
8/23/2003,171.7,,,,,,,,,,,,,,
8/24/2003,171.7,,,,,,,,,,,,,,
8/25/2003,171.85,,,,,,,,,,,,,,
8/26/2003,171.7,,,,,,,,,,,,,,
8/27/2003,171.7,,,,,,,,,,,,,,
8/28/2003,171.7,,,,,,,,,,,,,,
8/29/2003,171.7,,,,,,,,,,,,,,
8/30/2003,172,,,,,,,,,,,,,,
8/31/2003,172,,,,,,,,,,,,,,
9/1/2003,171.7,,,,,,,,,,,,,,
9/2/2003,171.7,,,,,,,,,,,,,,
9/3/2003,172.5,,,,,,,,,,,,,,
9/4/2003,173,,,,,,,,,,,,,,
9/5/2003,173.3,,,,,,,,,,,,,,
9/6/2003,173.8,,,,,,,,,,,,,,
9/7/2003,174.3,,,,,,,,,,,,,,
9/8/2003,,,,,,,,,,,,,,,
9/9/2003,174.3,,,,,,,,,,,,,,
9/10/2003,175.7,,,,,,,,,,,,,,
9/11/2003,174.3,,,,,,,,,,,,,,
9/12/2003,177,,,,,,,,,,,,,,
9/13/2003,176.7,,,,,,,,,,,,,,
9/14/2003,176.3,,,,,,,,,,,,,,
9/15/2003,174.3,,,,,,,,,,,,,,
9/16/2003,174.3,,,,,,,,,,,,,,
9/17/2003,174.3,,,,,,,,,,,,,,
9/18/2003,174.3,,,,,,,,,,,,,,
9/19/2003,174.6,,,,,,,,,,,,,,
9/20/2003,174.6,,,,,,,,,,,,,,
9/21/2003,174.3,,,,,,,,,,,,,,
9/22/2003,174.3,,,,,,,,,,,,,,
9/23/2003,174.3,,,,,,,,,,,,,,
9/24/2003,174.3,,,,,,,,,,,,,,
9/25/2003,174.3,,,,,,,,,,,,,,
9/26/2003,174.3,,,,,,,,,,,,,,
9/27/2003,174.3,,,,,,,,,,,,,,
9/28/2003,174.3,,,,,,,,,,,,,,
9/29/2003,174.3,,,,,,,,,,,,,,
9/30/2003,174.3,,,,,,,,,,,,,,
10/1/2003,0,,,,,,,,,,,,,,
10/2/2003,0,,,,,,,,,,,,,,
10/3/2003,0,,,,,,,,,,,,,,
