"Reid, M.E., Brien, D.L., and LaHusen, Richard G., Landslide monitoring data for the Cleveland Corral landslide near U.S. Highway 50, El Dorado County, California"
U.S. Geological Survey data release: https://doi.org/10.5066/P1P9DMFX
daily medians for upper station, 1998 - 2000
date,upp_upslope_extensometer_cm_upp_E6,upp_downslope_extensometer_cm_upp_E7
11/19/1998,0.0,0.0
11/20/1998,0.0,0.0
11/21/1998,0.0,0.0
11/22/1998,0.0,0.0
11/23/1998,0.0,0.2
11/24/1998,0.0,0.8
11/25/1998,0.0,0.8
11/26/1998,0.2,0.8
11/27/1998,0.2,0.5
11/28/1998,0.3,0.8
11/29/1998,0.4,1.0
11/30/1998,0.2,1.0
12/1/1998,0.8,1.6
12/2/1998,0.4,1.3
12/3/1998,0.4,1.6
12/4/1998,0.8,1.8
12/5/1998,0.6,1.6
12/6/1998,0.6,1.6
12/7/1998,0.6,1.6
12/8/1998,0.6,1.6
12/9/1998,0.6,1.6
12/10/1998,0.6,1.6
12/11/1998,0.8,1.6
12/12/1998,0.8,1.6
12/13/1998,0.8,1.6
12/14/1998,0.8,1.8
12/15/1998,0.6,1.6
12/16/1998,0.6,1.3
12/17/1998,0.6,1.3
12/18/1998,0.8,1.6
12/19/1998,1.3,2.1
12/20/1998,1.3,2.1
12/21/1998,1.3,2.1
12/22/1998,1.3,2.1
12/23/1998,1.3,2.1
12/24/1998,1.0,2.0
12/25/1998,1.0,1.8
12/26/1998,1.0,1.6
12/27/1998,1.0,1.8
12/28/1998,0.9,1.8
12/29/1998,1.0,1.8
12/30/1998,1.0,1.6
12/31/1998,1.3,1.8
1/1/1999,1.3,1.8
1/2/1999,1.0,1.8
1/3/1999,1.0,1.8
1/4/1999,1.3,1.8
1/5/1999,1.3,1.8
1/6/1999,1.3,1.8
1/7/1999,1.3,1.8
1/8/1999,1.3,1.8
1/9/1999,1.3,1.8
1/10/1999,1.3,1.8
1/11/1999,1.5,1.8
1/12/1999,1.5,1.8
1/13/1999,1.5,1.8
1/14/1999,1.5,1.6
1/15/1999,1.5,1.8
1/16/1999,1.3,1.8
1/17/1999,1.0,1.8
1/18/1999,1.0,2.1
1/19/1999,1.0,2.1
1/20/1999,1.3,2.6
1/21/1999,1.5,2.6
1/22/1999,1.7,2.6
1/23/1999,1.7,3.1
1/24/1999,2.1,3.4
1/25/1999,2.3,3.4
1/26/1999,2.3,3.4
1/27/1999,2.3,3.6
1/28/1999,2.5,3.6
1/29/1999,2.5,3.6
1/30/1999,2.5,3.6
1/31/1999,2.7,3.9
2/1/1999,2.5,3.9
2/2/1999,2.5,3.6
2/3/1999,2.5,3.6
2/4/1999,2.5,3.9
2/5/1999,2.5,3.9
2/6/1999,2.5,3.9
2/7/1999,2.3,4.2
2/8/1999,2.5,4.7
2/9/1999,4.1,5.5
2/10/1999,4.7,5.7
2/11/1999,4.9,6.8
2/12/1999,5.1,7.3
2/13/1999,5.5,8.1
2/14/1999,5.7,8.9
2/15/1999,5.9,9.4
2/16/1999,5.9,9.4
2/17/1999,6.1,10.2
2/18/1999,6.8,11.4
2/19/1999,7.2,13.0
2/20/1999,7.8,14.3
2/21/1999,8.2,16.7
