"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",1-Hz downsampled data,Complete period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original extensometer wire oblique distance; corr = corrected distance to reflect slope-parallel displacement; m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
4.00 ,0.0579,0.04314,0.06571,0.000,0.000,0.000,-2.34,-79.06,-26.99,-0.23,-7.75,-2.65
5.00 ,0.05802,0.04377,0.06571,0.000,0.001,0.000,-2.34,-78.91,-26.99,-0.23,-7.74,-2.65
6.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-2.34,-79.22,-27.28,-0.23,-7.77,-2.67
7.00 ,0.0579,0.04251,0.06584,0.000,-0.001,0.000,-2.34,-79.06,-27.28,-0.23,-7.75,-2.67
8.00 ,0.05828,0.04377,0.06571,0.000,0.001,0.000,-2.18,-79.06,-27.13,-0.21,-7.75,-2.66
9.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-2.18,-78.91,-27.13,-0.21,-7.74,-2.66
10.00 ,0.0579,0.04314,0.06597,0.000,0.000,0.000,-2.49,-79.06,-27.28,-0.24,-7.75,-2.67
11.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-2.34,-79.06,-27.13,-0.23,-7.75,-2.66
12.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-2.34,-79.22,-27.28,-0.23,-7.77,-2.67
13.00 ,0.0579,0.04377,0.06597,0.000,0.001,0.000,-2.18,-79.22,-27.43,-0.21,-7.77,-2.69
14.00 ,0.05777,0.04377,0.06597,0.000,0.001,0.000,-2.34,-79.06,-27.43,-0.23,-7.75,-2.69
15.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-2.49,-79.06,-27.28,-0.24,-7.75,-2.67
16.00 ,0.05815,0.04251,0.06584,0.000,-0.001,0.000,-2.03,-79.22,-27.28,-0.20,-7.77,-2.67
17.00 ,0.0579,0.04377,0.06584,0.000,0.001,0.000,-2.49,-79.22,-27.28,-0.24,-7.77,-2.67
18.00 ,0.05802,0.04251,0.06571,0.000,-0.001,0.000,-2.49,-79.22,-27.57,-0.24,-7.77,-2.70
19.00 ,0.0579,0.04377,0.06584,0.000,0.001,0.000,-2.49,-79.06,-27.43,-0.24,-7.75,-2.69
