"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",100-Hz data,Rapid failure period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original distance data; corr = corrected data to reflect slope-parallel distance m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
24620.00,0.59916,0.20596,0.11955,0.599,0.206,0.120,23.24,3.91,38.61,2.28,0.38,3.79
24620.01,0.59942,0.20596,0.11968,0.599,0.206,0.120,23.24,3.91,38.31,2.28,0.38,3.76
24620.02,0.59954,0.2047,0.11981,0.600,0.205,0.120,23.39,3.91,38.61,2.29,0.38,3.79
24620.03,0.59954,0.2066,0.11968,0.600,0.207,0.120,23.08,3.91,38.61,2.26,0.38,3.79
24620.04,0.59967,0.2047,0.11968,0.600,0.205,0.120,23.39,4.22,38.61,2.29,0.41,3.79
24620.05,0.59967,0.2047,0.11993,0.600,0.205,0.120,23.08,3.91,38.46,2.26,0.38,3.77
24620.06,0.60005,0.20596,0.11942,0.600,0.206,0.119,23.39,3.91,38.31,2.29,0.38,3.76
24620.07,0.6003,0.20596,0.11955,0.600,0.206,0.120,23.39,4.06,38.31,2.29,0.40,3.76
24620.08,0.60005,0.20596,0.11968,0.600,0.206,0.120,23.08,4.06,38.61,2.26,0.40,3.79
24620.09,0.60043,0.20533,0.11955,0.600,0.205,0.120,23.08,4.06,38.46,2.26,0.40,3.77
24620.10,0.60056,0.20533,0.11955,0.601,0.205,0.120,23.24,4.38,38.31,2.28,0.43,3.76
24620.11,0.60056,0.20533,0.11993,0.601,0.205,0.120,23.55,4.22,38.17,2.31,0.41,3.74
24620.12,0.60069,0.20596,0.11981,0.601,0.206,0.120,23.39,3.91,38.17,2.29,0.38,3.74
24620.13,0.60081,0.20533,0.11981,0.601,0.205,0.120,23.08,3.59,38.61,2.26,0.35,3.79
24620.14,0.60107,0.20533,0.11981,0.601,0.205,0.120,23.24,3.91,38.17,2.28,0.38,3.74
24620.15,0.60107,0.20596,0.11968,0.601,0.206,0.120,23.24,4.06,38.31,2.28,0.40,3.76
24620.16,0.60132,0.20596,0.11993,0.601,0.206,0.120,23.24,3.91,38.46,2.28,0.38,3.77
24620.17,0.60119,0.20596,0.11981,0.601,0.206,0.120,23.24,3.91,38.17,2.28,0.38,3.74
24620.18,0.60119,0.2047,0.12006,0.601,0.205,0.120,23.08,3.75,38.17,2.26,0.37,3.74
24620.19,0.60132,0.20596,0.12006,0.601,0.206,0.120,23.24,4.06,38.46,2.28,0.40,3.77
24620.20,0.60157,0.2066,0.11981,0.602,0.207,0.120,23.39,3.75,38.17,2.29,0.37,3.74
24620.21,0.60157,0.20596,0.11993,0.602,0.206,0.120,23.24,4.06,38.46,2.28,0.40,3.77
24620.22,0.60145,0.20596,0.11968,0.601,0.206,0.120,23.39,3.75,38.46,2.29,0.37,3.77
24620.23,0.6017,0.20596,0.11993,0.602,0.206,0.120,23.24,3.91,38.46,2.28,0.38,3.77
24620.24,0.60196,0.20596,0.11955,0.602,0.206,0.120,23.08,3.91,38.17,2.26,0.38,3.74
24620.25,0.60196,0.2066,0.11993,0.602,0.207,0.120,23.39,3.44,38.61,2.29,0.34,3.79
24620.26,0.60196,0.20596,0.12006,0.602,0.206,0.120,23.24,3.75,38.46,2.28,0.37,3.77
24620.27,0.60196,0.20596,0.11993,0.602,0.206,0.120,23.39,4.06,38.17,2.29,0.40,3.74
24620.28,0.60208,0.20596,0.11981,0.602,0.206,0.120,23.24,3.59,38.31,2.28,0.35,3.76
24620.29,0.60234,0.20596,0.11993,0.602,0.206,0.120,23.24,3.59,38.46,2.28,0.35,3.77
24620.30,0.60234,0.2066,0.12006,0.602,0.207,0.120,23.08,3.75,38.46,2.26,0.37,3.77
24620.31,0.60234,0.2066,0.11993,0.602,0.207,0.120,23.08,3.91,38.31,2.26,0.38,3.76
24620.32,0.60246,0.2066,0.11993,0.602,0.207,0.120,23.08,3.91,38.31,2.26,0.38,3.76
24620.33,0.60246,0.20596,0.11993,0.602,0.206,0.120,23.24,3.91,38.31,2.28,0.38,3.76
24620.34,0.60284,0.20596,0.12006,0.603,0.206,0.120,23.08,3.91,38.17,2.26,0.38,3.74
24620.35,0.60246,0.20533,0.12019,0.602,0.205,0.120,23.24,3.91,38.31,2.28,0.38,3.76
24620.36,0.60284,0.20723,0.12006,0.603,0.207,0.120,23.08,3.75,38.61,2.26,0.37,3.79
24620.37,0.60259,0.20596,0.11993,0.603,0.206,0.120,23.24,3.75,38.31,2.28,0.37,3.76
24620.38,0.60284,0.20723,0.11993,0.603,0.207,0.120,23.24,3.75,38.17,2.28,0.37,3.74
24620.39,0.6031,0.20596,0.12019,0.603,0.206,0.120,23.24,3.75,38.17,2.28,0.37,3.74
24620.40,0.6031,0.20723,0.12006,0.603,0.207,0.120,23.08,4.06,38.31,2.26,0.40,3.76
24620.41,0.60323,0.20723,0.12006,0.603,0.207,0.120,23.55,3.75,38.31,2.31,0.37,3.76
24620.42,0.60323,0.20723,0.12006,0.603,0.207,0.120,23.24,3.59,38.31,2.28,0.35,3.76
24620.43,0.60335,0.20596,0.12006,0.603,0.206,0.120,23.39,3.59,38.46,2.29,0.35,3.77
24620.44,0.60335,0.20723,0.12006,0.603,0.207,0.120,23.08,3.75,38.31,2.26,0.37,3.76
24620.45,0.60348,0.20596,0.12019,0.603,0.206,0.120,23.24,3.59,38.46,2.28,0.35,3.77
24620.46,0.60335,0.2066,0.12019,0.603,0.207,0.120,23.08,3.59,38.31,2.26,0.35,3.76
24620.47,0.60373,0.2066,0.12006,0.604,0.207,0.120,23.08,3.59,38.46,2.26,0.35,3.77
24620.48,0.60373,0.20723,0.12019,0.604,0.207,0.120,23.39,3.75,38.31,2.29,0.37,3.76
24620.49,0.60373,0.20723,0.12006,0.604,0.207,0.120,23.24,3.75,38.17,2.28,0.37,3.74
24620.50,0.60399,0.2066,0.12019,0.604,0.207,0.120,23.39,3.59,38.17,2.29,0.35,3.74
24620.51,0.60386,0.20723,0.12006,0.604,0.207,0.120,22.93,3.75,38.61,2.25,0.37,3.79
24620.52,0.60386,0.2066,0.11993,0.604,0.207,0.120,23.70,3.91,38.17,2.32,0.38,3.74
24620.53,0.60424,0.2066,0.12006,0.604,0.207,0.120,23.24,3.75,38.31,2.28,0.37,3.76
24620.54,0.60411,0.2066,0.12019,0.604,0.207,0.120,23.24,3.75,38.46,2.28,0.37,3.77
24620.55,0.60411,0.2066,0.12019,0.604,0.207,0.120,23.24,3.75,38.17,2.28,0.37,3.74
24620.56,0.60437,0.20596,0.12045,0.604,0.206,0.120,23.08,3.59,38.17,2.26,0.35,3.74
24620.57,0.60449,0.20596,0.12045,0.604,0.206,0.120,23.08,3.91,38.31,2.26,0.38,3.76
24620.58,0.60462,0.20786,0.12019,0.605,0.208,0.120,23.39,3.91,38.31,2.29,0.38,3.76
24620.59,0.60488,0.2066,0.12032,0.605,0.207,0.120,23.08,3.75,38.31,2.26,0.37,3.76
24620.60,0.60462,0.20723,0.12019,0.605,0.207,0.120,22.93,3.75,38.31,2.25,0.37,3.76
24620.61,0.60488,0.2066,0.12032,0.605,0.207,0.120,22.93,3.44,38.17,2.25,0.34,3.74
24620.62,0.60488,0.2066,0.12058,0.605,0.207,0.121,23.24,3.28,38.17,2.28,0.32,3.74
24620.63,0.605,0.2066,0.12019,0.605,0.207,0.120,23.08,3.59,38.31,2.26,0.35,3.76
24620.64,0.60513,0.20723,0.12032,0.605,0.207,0.120,23.24,3.59,38.46,2.28,0.35,3.77
24620.65,0.60538,0.2066,0.12032,0.605,0.207,0.120,23.24,3.44,38.31,2.28,0.34,3.76
24620.66,0.60513,0.20723,0.12019,0.605,0.207,0.120,23.39,3.75,38.31,2.29,0.37,3.76
24620.67,0.60551,0.2066,0.12019,0.606,0.207,0.120,23.08,3.44,38.02,2.26,0.34,3.73
24620.68,0.60564,0.20723,0.12019,0.606,0.207,0.120,23.24,3.91,38.61,2.28,0.38,3.79
24620.69,0.60589,0.2066,0.12045,0.606,0.207,0.120,23.08,3.59,38.31,2.26,0.35,3.76
24620.70,0.60615,0.2066,0.12058,0.606,0.207,0.121,23.24,3.44,38.31,2.28,0.34,3.76
24620.71,0.60576,0.20723,0.12058,0.606,0.207,0.121,23.08,3.75,38.46,2.26,0.37,3.77
24620.72,0.60602,0.20723,0.12058,0.606,0.207,0.121,22.93,3.91,38.17,2.25,0.38,3.74
24620.73,0.60615,0.20723,0.12032,0.606,0.207,0.120,23.08,4.06,38.02,2.26,0.40,3.73
24620.74,0.60627,0.20849,0.12045,0.606,0.208,0.120,23.08,3.59,38.02,2.26,0.35,3.73
24620.75,0.60653,0.20723,0.12045,0.607,0.207,0.120,23.08,3.91,38.46,2.26,0.38,3.77
24620.76,0.60665,0.20786,0.12032,0.607,0.208,0.120,23.24,3.59,38.02,2.28,0.35,3.73
24620.77,0.60665,0.20723,0.12058,0.607,0.207,0.121,23.24,3.59,38.02,2.28,0.35,3.73
24620.78,0.60691,0.20849,0.12032,0.607,0.208,0.120,23.08,3.75,38.17,2.26,0.37,3.74
24620.79,0.60703,0.2066,0.12032,0.607,0.207,0.120,23.39,3.75,38.02,2.29,0.37,3.73
24620.80,0.60703,0.20849,0.12032,0.607,0.208,0.120,23.08,3.75,38.17,2.26,0.37,3.74
24620.81,0.60742,0.20723,0.12045,0.607,0.207,0.120,23.24,3.59,38.02,2.28,0.35,3.73
24620.82,0.60716,0.20786,0.1207,0.607,0.208,0.121,23.39,3.75,38.02,2.29,0.37,3.73
