time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	642.36	200.83	0.47	53.20	63.52
1	642.36	200.83	0.47	53.20	63.52
2	642.36	201.07	0.80	53.13	63.51
3	642.36	201.63	0.97	53.13	63.52
4	642.36	202.27	1.60	52.97	63.53
5	642.36	202.70	1.37	52.83	63.54
6	642.36	201.60	1.10	52.70	63.55
7	642.36	201.77	0.87	52.73	63.54
8	642.36	201.20	1.13	52.80	63.54
9	642.36	201.50	1.40	52.93	63.52
10	642.36	200.80	2.00	52.83	63.53
11	642.36	201.20	1.87	52.63	63.54
12	642.36	201.90	1.40	52.53	63.54
13	642.36	203.07	-0.87	52.67	63.53
14	642.36	202.70	-2.73	52.73	63.51
15	642.36	202.07	-2.33	52.67	63.51
16	642.36	202.10	-1.60	52.50	63.53
17	642.36	203.23	0.03	52.40	63.54
18	642.36	203.73	-0.40	52.27	63.54
19	642.36	202.37	0.33	51.97	63.49
20	642.36	201.57	0.77	51.97	63.48
21	642.36	200.97	1.07	51.90	63.47
22	642.36	201.57	1.10	52.00	63.51
23	642.36	200.87	0.57	51.73	63.51
24	642.36	202.37	2.13	51.57	63.51
25	642.36	202.80	2.63	51.77	63.55
26	642.36	203.33	2.90	51.70	63.55
27	642.36	202.77	1.40	51.63	63.55
28	642.36	202.70	2.50	51.07	63.52
29	642.36	202.20	2.37	50.63	63.54
30	642.36	201.63	2.97	50.33	63.55
31	642.36	201.43	1.30	50.20	63.53
32	642.36	201.53	3.70	50.30	63.52
33	642.36	202.10	3.17	50.17	63.50
34	642.36	202.00	5.43	50.00	63.50
35	642.36	202.37	3.13	49.77	63.51
36	642.36	202.23	3.00	49.63	63.53
37	642.36	202.30	0.70	49.53	63.53
38	642.36	201.97	0.90	49.53	63.51
39	642.36	201.47	2.07	49.40	63.50
40	642.36	201.23	2.37	49.23	63.52
41	642.36	202.10	3.07	49.00	63.53
42	642.36	201.97	1.83	48.73	63.53
43	642.36	202.17	1.87	48.57	63.52
44	642.36	201.77	1.10	48.43	63.51
45	642.36	202.27	1.23	48.43	63.52
46	642.36	202.13	0.93	48.23	63.51
47	642.36	202.10	-0.57	48.03	63.52
48	642.36	201.77	-0.60	47.80	63.52
49	642.36	202.20	-0.87	47.70	63.53
50	642.36	201.87	1.23	47.57	63.53
51	642.36	201.43	1.20	47.43	63.55
52	642.36	201.37	1.23	47.33	63.54
53	642.36	201.20	0.93	46.80	63.51
54	642.36	202.47	1.03	46.67	63.48
55	642.36	202.30	1.87	46.50	63.49
56	642.36	202.97	1.13	46.97	63.52
57	642.36	201.67	0.90	46.97	63.53
58	642.36	202.40	2.70	46.83	63.52
59	642.36	201.30	3.43	46.50	63.50
60	642.36	201.93	3.67	46.37	63.49
61	642.36	202.20	1.57	46.27	63.49
62	642.36	202.30	0.17	46.20	63.51
63	642.36	202.30	0.27	45.93	63.52
64	642.36	201.37	-0.17	45.77	63.52
65	642.36	202.03	0.90	45.80	63.51
66	642.36	200.90	0.80	45.67	63.50
67	642.36	200.80	1.40	45.53	63.49
68	642.36	200.63	1.63	45.30	63.49
69	642.36	201.43	1.80	45.20	63.50
70	642.36	201.53	1.10	45.10	63.51
71	642.36	202.03	0.87	44.83	63.52
72	642.36	201.73	0.67	44.73	63.52
73	642.36	199.60	1.00	44.77	63.51
74	642.36	198.20	1.40	44.77	63.50
75	642.36	198.87	1.90	44.73	63.49
76	642.36	201.17	2.10	44.40	63.50
77	642.36	201.30	2.90	44.27	63.50
78	642.36	201.00	2.63	44.00	63.51
79	642.36	201.20	2.27	43.97	63.52
80	642.36	202.03	1.27	43.83	63.52
81	642.36	202.43	1.17	43.87	63.54
82	642.36	201.77	2.47	43.83	63.53
83	642.36	202.07	2.57	43.83	63.52
84	642.36	201.83	3.37	43.67	63.49
85	642.36	201.77	2.20	43.47	63.50
86	642.36	201.43	1.80	43.20	63.53
87	642.36	201.30	0.80	43.10	63.53
88	642.36	201.30	0.83	43.10	63.53
89	642.36	201.70	1.03	43.13	63.48
90	642.36	201.07	1.17	43.13	63.48
91	642.36	201.17	1.37	43.03	63.47
92	642.36	201.23	1.57	42.87	63.49
93	642.36	202.17	1.50	42.70	63.49
94	642.36	203.43	1.30	42.53	63.49
95	642.36	203.47	1.07	42.43	63.51
96	642.36	202.90	1.03	42.50	63.52
97	642.36	202.07	2.27	42.47	63.53
98	642.36	202.00	2.23	42.50	63.51
99	642.36	202.50	2.57	42.30	63.48
100	642.36	201.73	1.60	42.27	63.47
101	642.36	200.67	1.83	42.10	63.47
102	642.36	200.90	1.70	41.97	63.50
103	642.36	201.03	1.90	41.70	63.52
104	642.36	202.43	1.57	41.63	63.53
105	642.36	202.03	1.57	41.60	63.53
106	642.36	202.80	1.23	41.70	63.51
107	642.36	201.37	1.53	41.67	63.49
108	642.36	200.93	1.47	41.63	63.49
109	642.36	200.73	2.00	41.50	63.49
110	642.36	201.90	2.00	41.40	63.49
111	642.36	202.33	1.83	41.17	63.50
112	642.36	202.63	1.20	40.97	63.50
113	642.36	201.83	0.97	40.80	63.51
114	642.36	202.10	1.43	40.77	63.51
115	642.36	202.87	1.63	40.93	63.50
116	642.36	203.20	2.20	40.93	63.49
117	642.36	203.40	2.17	40.57	63.49
118	642.36	201.53	2.07	40.33	63.49
119	642.36	201.13	1.50	40.17	63.50
120	642.36	200.43	1.10	40.37	63.51
121	642.36	201.03	0.93	40.37	63.52
122	642.36	201.33	1.20	40.30	63.52
123	642.36	202.30	1.73	40.27	63.51
124	642.36	201.47	2.17	40.17	63.49
125	642.36	201.27	2.40	40.17	63.49
126	642.36	200.57	2.23	40.10	63.49
127	642.36	201.10	2.00	40.00	63.49
128	642.36	200.90	1.70	39.70	63.51
129	642.36	201.27	1.67	39.57	63.52
130	642.36	202.03	0.47	39.40	63.53
131	642.36	202.90	0.50	39.47	63.51
132	642.36	202.50	0.80	39.43	63.49
133	642.36	202.27	0.67	39.40	63.48
134	642.36	201.33	0.67	39.47	63.47
135	642.36	201.40	0.40	39.37	63.48
136	642.36	202.13	1.67	39.27	63.49
137	642.36	203.10	1.47	39.07	63.50
138	642.36	203.03	1.07	38.93	63.51
139	642.36	202.57	2.17	38.87	63.50
140	642.36	202.47	2.57	38.80	63.52
141	642.36	202.07	2.97	38.87	63.51
142	642.36	201.60	0.13	38.90	63.50
143	642.36	200.57	-0.37	38.87	63.48
144	642.36	200.23	-0.83	38.70	63.48
145	642.36	200.30	0.83	38.53	63.49
146	642.36	200.93	0.97	38.40	63.50
147	642.36	201.07	1.23	38.53	63.51
148	642.36	201.00	1.23	38.50	63.51
149	642.36	201.33	2.07	38.47	63.49
150	642.36	201.63	2.77	38.27	63.48
151	642.36	200.80	2.77	38.33	63.48
152	642.36	200.83	2.00	38.30	63.49
153	642.36	201.17	1.03	38.10	63.50
154	642.36	201.50	0.77	37.83	63.49
155	642.36	200.57	1.10	37.67	63.49
156	642.36	199.80	1.87	37.67	63.47
157	642.36	200.30	2.50	37.63	63.47
158	642.36	200.87	2.17	37.60	63.46
159	642.36	201.27	0.70	37.50	63.48
160	642.36	201.33	0.43	37.33	63.49
161	642.36	201.63	0.53	37.20	63.50
162	642.36	203.13	1.57	37.13	63.50
163	642.36	203.60	1.90	37.23	63.50
164	642.36	203.73	2.43	37.30	63.49
165	642.36	202.63	2.43	37.27	63.48
166	642.36	202.53	2.20	37.10	63.49
167	642.36	202.60	1.87	36.93	63.50
168	642.36	203.43	1.67	36.90	63.50
169	642.36	203.40	1.53	36.87	63.49
170	642.36	202.33	1.53	36.90	63.48
171	642.36	200.83	2.03	36.80	63.47
172	642.36	200.63	2.33	36.80	63.47
173	642.36	202.23	2.27	36.70	63.48
174	642.36	202.97	2.07	36.57	63.49
175	642.36	201.60	1.33	36.43	63.50
176	642.36	200.37	1.53	36.40	63.50
177	642.36	200.50	1.83	36.43	63.50
178	642.36	201.63	2.63	36.43	63.48
179	642.36	202.63	2.43	36.47	63.47
180	642.36	201.87	2.17	36.40	63.48
181	642.36	201.97	1.67	36.23	63.49
182	642.36	200.67	1.57	36.27	63.51
183	642.36	199.77	1.43	36.23	63.51
184	642.36	199.87	1.63	36.20	63.50
185	642.36	200.30	1.80	35.97	63.47
186	642.36	202.27	2.07	35.87	63.48
187	642.36	203.20	2.37	35.83	63.47
188	642.36	204.10	2.23	35.77	63.49
189	642.36	203.23	1.77	35.67	63.50
190	642.36	202.47	1.20	35.53	63.50
191	642.36	201.83	1.13	35.40	63.50
192	642.36	201.83	1.87	35.40	63.49
193	642.36	202.73	1.93	35.47	63.48
194	642.36	202.43	2.03	35.40	63.48
195	642.36	203.00	1.53	35.23	63.48
196	642.36	202.40	1.73	35.07	63.49
197	642.36	202.23	1.77	35.03	63.49
198	642.36	201.57	1.57	35.03	63.49
199	642.36	201.97	1.53	35.00	63.49
200	642.36	202.23	1.73	34.93	63.49
201	642.36	202.77	2.10	34.87	63.49
202	642.36	201.43	2.03	34.80	63.49
203	642.36	201.23	1.47	34.73	63.50
204	642.36	201.43	1.63	35.07	63.49
205	642.36	201.73	1.77	35.07	63.49
206	642.36	202.47	2.03	34.93	63.47
207	642.36	201.97	2.10	34.53	63.47
208	642.36	201.67	2.07	34.53	63.47
209	642.36	200.83	2.37	34.57	63.48
210	642.36	201.57	2.03	34.53	63.50
211	642.36	201.63	1.80	34.40	63.50
212	642.36	201.63	1.10	34.40	63.50
213	642.36	199.83	1.40	34.43	63.46
214	642.36	200.03	0.03	34.40	63.45
215	642.36	200.87	0.73	34.20	63.45
216	642.36	202.53	0.43	34.00	63.48
217	642.36	202.70	2.00	33.93	63.50
218	642.36	202.63	1.93	33.93	63.50
219	642.36	202.40	2.10	33.97	63.50
220	642.36	202.57	2.43	34.07	63.50
221	642.36	202.17	2.30	34.13	63.49
222	642.36	202.60	2.43	34.03	63.49
223	642.36	202.70	2.30	33.83	63.48
224	642.36	203.57	2.30	33.67	63.49
225	642.36	202.67	1.77	33.53	63.49
226	642.36	202.20	1.70	33.37	63.49
227	642.36	201.40	3.07	33.40	63.48
228	642.36	200.73	3.23	33.43	63.47
229	642.36	200.67	3.10	33.57	63.47
230	642.36	200.80	-0.37	33.53	63.47
231	642.36	201.97	-0.33	33.53	63.48
232	642.36	202.27	-0.33	33.87	63.48
233	642.36	203.07	1.77	33.73	63.49
234	642.36	203.70	1.93	33.73	63.48
235	642.36	203.40	2.50	33.37	63.47
236	642.36	201.63	2.73	33.47	63.44
237	642.36	201.67	2.87	33.30	63.44
238	642.36	201.73	2.37	33.17	63.45
239	642.36	203.20	1.97	33.03	63.48
240	642.36	202.77	1.43	33.00	63.49
241	642.36	203.47	1.17	33.00	63.49
242	642.36	203.03	0.50	33.03	63.48
243	642.36	203.00	0.83	33.07	63.48
244	642.36	202.13	1.33	32.87	63.48
245	642.36	202.23	1.40	32.77	63.49
246	642.36	201.70	1.40	32.67	63.48
247	642.36	202.10	0.87	32.70	63.49
248	642.36	202.00	1.53	32.57	63.49
249	642.36	201.30	1.93	32.50	63.50
250	642.36	201.13	2.33	32.47	63.49
