time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	1127.56	398.23	4.37	58.07	61.23
1	1127.56	398.23	4.37	58.07	61.23
2	1127.56	398.27	5.23	57.97	61.19
3	1127.56	399.27	6.07	57.87	61.18
4	1127.56	400.00	7.73	57.83	61.18
5	1127.56	399.90	7.20	57.67	61.19
6	1127.56	397.90	6.73	57.43	61.20
7	1127.56	397.67	6.53	57.20	61.21
8	1127.56	397.50	6.30	57.10	61.21
9	1127.56	398.60	6.53	57.13	61.19
10	1127.56	399.33	6.70	57.03	61.18
11	1127.56	399.33	6.90	56.97	61.17
12	1127.56	399.77	6.90	56.73	61.18
13	1127.56	399.47	6.43	56.53	61.19
14	1127.56	399.07	5.73	56.37	61.20
15	1127.56	399.40	5.83	56.17	61.20
16	1127.56	398.97	6.20	56.30	61.19
17	1127.56	399.83	6.97	56.20	61.18
18	1127.56	399.30	7.00	56.17	61.18
19	1127.56	399.40	6.93	55.83	61.18
20	1127.56	399.53	6.80	55.63	61.19
21	1127.56	399.50	6.07	55.43	61.20
22	1127.56	399.70	6.13	55.13	61.20
23	1127.56	399.63	6.07	55.07	61.20
24	1127.56	399.67	6.80	55.33	61.17
25	1127.56	397.83	6.20	55.40	61.16
26	1127.56	397.70	6.30	55.33	61.15
27	1127.56	397.90	6.20	54.87	61.17
28	1127.56	400.27	7.13	55.07	61.14
29	1127.56	399.03	6.83	54.90	61.16
30	1127.56	398.80	6.13	54.87	61.16
31	1127.56	398.37	5.60	54.40	61.20
32	1127.56	400.23	5.80	54.07	61.19
33	1127.56	401.00	6.90	53.97	61.18
34	1127.56	400.03	7.23	53.97	61.18
35	1127.56	399.00	7.43	54.17	61.16
36	1127.56	398.20	7.13	54.03	61.17
37	1127.56	400.07	6.77	53.80	61.17
38	1127.56	399.63	6.60	53.57	61.20
39	1127.56	400.07	6.33	53.63	61.20
40	1127.56	399.43	6.77	53.50	61.20
41	1127.56	399.90	6.93	53.47	61.19
42	1127.56	399.37	7.37	53.17	61.18
43	1127.56	399.17	7.43	53.10	61.18
44	1127.56	399.10	7.53	52.93	61.18
45	1127.56	399.87	7.43	52.73	61.18
46	1127.56	400.23	7.37	52.53	61.18
47	1127.56	400.67	7.23	52.20	61.19
48	1127.56	399.83	7.07	52.17	61.19
49	1127.56	399.40	6.93	52.13	61.19
50	1127.56	399.03	7.20	52.30	61.19
51	1127.56	399.37	7.43	52.27	61.17
52	1127.56	398.23	7.70	52.23	61.16
53	1127.56	398.53	6.47	52.13	61.16
54	1127.56	398.57	8.30	51.97	61.17
55	1127.56	400.33	8.00	52.03	61.19
56	1127.56	399.90	8.83	51.90	61.20
57	1127.56	399.77	8.10	51.77	61.20
58	1127.56	398.97	8.17	51.43	61.20
59	1127.56	399.30	8.17	51.37	61.19
60	1127.56	399.70	6.97	51.33	61.18
61	1127.56	400.57	7.33	51.30	61.18
62	1127.56	399.47	7.47	51.17	61.17
63	1127.56	397.70	7.40	51.07	61.17
64	1127.56	396.73	6.83	50.93	61.20
65	1127.56	398.23	6.60	50.90	61.21
66	1127.56	400.37	6.70	50.43	61.24
67	1127.56	400.87	6.90	50.30	61.22
68	1127.56	400.27	7.37	50.10	61.21
69	1127.56	398.63	7.57	50.47	61.19
70	1127.56	398.57	7.97	50.30	61.18
71	1127.56	398.37	7.83	50.13	61.19
72	1127.56	398.80	6.27	49.80	61.19
73	1127.56	398.33	5.50	49.70	61.19
74	1127.56	398.90	5.37	49.60	61.19
75	1127.56	400.40	6.90	49.50	61.18
76	1127.56	400.80	7.30	49.47	61.17
77	1127.56	400.23	8.07	49.37	61.17
78	1127.56	398.90	8.30	49.27	61.17
79	1127.56	399.17	8.30	49.07	61.18
80	1127.56	399.47	7.23	48.97	61.19
81	1127.56	399.80	6.93	48.83	61.18
82	1127.56	399.47	7.13	48.80	61.17
83	1127.56	400.47	7.43	48.77	61.16
84	1127.56	400.50	7.17	48.73	61.17
85	1127.56	399.77	6.60	48.73	61.18
86	1127.56	398.40	8.50	48.53	61.19
87	1127.56	398.50	7.93	48.43	61.19
88	1127.56	398.17	8.33	48.27	61.17
89	1127.56	398.33	6.63	48.47	61.16
90	1127.56	398.13	6.33	48.33	61.16
91	1127.56	399.00	6.07	48.07	61.17
92	1127.56	399.17	6.07	47.63	61.18
93	1127.56	399.13	7.47	47.50	61.19
94	1127.56	398.47	7.97	47.53	61.18
95	1127.56	398.70	8.00	47.53	61.17
96	1127.56	398.33	7.63	47.47	61.16
97	1127.56	398.43	6.37	47.30	61.17
98	1127.56	398.53	5.87	47.20	61.17
99	1127.56	398.70	5.93	46.90	61.14
100	1127.56	399.13	7.20	46.90	61.14
101	1127.56	398.23	7.67	46.80	61.14
102	1127.56	398.43	7.53	46.77	61.16
103	1127.56	397.73	7.07	46.57	61.17
104	1127.56	397.90	7.00	46.37	61.18
105	1127.56	398.33	7.37	46.40	61.19
106	1127.56	399.67	6.83	46.33	61.18
107	1127.56	400.10	6.97	46.30	61.17
108	1127.56	400.07	6.53	46.27	61.17
109	1127.56	400.07	7.17	46.10	61.19
110	1127.56	399.67	7.00	45.93	61.20
111	1127.56	398.83	7.10	45.77	61.18
112	1127.56	398.17	7.63	45.73	61.13
113	1127.56	398.47	7.60	45.70	61.13
114	1127.56	399.07	7.27	45.67	61.13
115	1127.56	400.37	6.90	45.53	61.17
116	1127.56	400.83	7.23	45.40	61.15
117	1127.56	400.97	8.03	45.27	61.16
118	1127.56	399.87	8.53	45.20	61.15
119	1127.56	399.27	8.70	45.17	61.16
120	1127.56	398.60	8.53	45.00	61.17
121	1127.56	398.10	7.63	44.87	61.18
122	1127.56	398.23	6.93	44.73	61.20
123	1127.56	397.87	6.60	44.67	61.19
124	1127.56	398.03	7.40	44.67	61.18
125	1127.56	397.53	8.40	44.60	61.17
126	1127.56	398.63	8.80	44.37	61.16
127	1127.56	398.67	8.23	44.17	61.17
128	1127.56	399.73	7.63	43.83	61.19
129	1127.56	399.53	7.17	43.90	61.18
130	1127.56	399.63	7.30	43.83	61.17
131	1127.56	398.57	7.33	43.97	61.16
132	1127.56	397.80	8.03	44.07	61.16
133	1127.56	397.87	8.13	44.00	61.16
134	1127.56	398.63	7.70	43.67	61.18
135	1127.56	398.40	7.17	43.00	61.19
136	1127.56	398.13	7.20	42.87	61.20
137	1127.56	398.00	7.47	43.00	61.18
138	1127.56	399.07	7.87	43.27	61.16
139	1127.56	399.07	7.90	43.10	61.16
140	1127.56	398.77	7.90	43.00	61.15
141	1127.56	397.43	7.83	42.83	61.16
142	1127.56	396.33	7.63	42.83	61.17
143	1127.56	397.07	7.87	42.80	61.18
144	1127.56	398.43	7.80	42.83	61.17
145	1127.56	400.40	7.73	42.87	61.16
146	1127.56	400.00	7.37	42.77	61.16
147	1127.56	399.33	6.90	42.67	61.17
148	1127.56	399.37	6.93	42.47	61.18
149	1127.56	399.43	7.63	42.37	61.19
150	1127.56	398.63	7.93	42.27	61.18
151	1127.56	397.97	8.23	42.30	61.17
152	1127.56	397.70	7.87	41.97	61.16
153	1127.56	398.83	7.77	41.80	61.13
154	1127.56	397.33	7.37	41.53	61.15
155	1127.56	397.97	7.07	41.57	61.16
156	1127.56	397.90	7.17	41.70	61.19
157	1127.56	399.67	7.57	41.40	61.18
158	1127.56	398.77	8.23	41.43	61.17
159	1127.56	399.27	8.50	41.13	61.16
160	1127.56	398.93	8.37	41.30	61.16
161	1127.56	398.73	8.13	41.17	61.17
162	1127.56	399.30	7.80	41.07	61.19
163	1127.56	398.87	7.47	40.93	61.20
164	1127.56	399.53	7.43	40.80	61.20
165	1127.56	398.23	7.67	40.77	61.18
166	1127.56	398.63	8.40	40.73	61.16
167	1127.56	398.93	8.30	40.77	61.15
168	1127.56	398.83	8.17	40.73	61.15
169	1127.56	399.57	7.43	40.67	61.15
170	1127.56	399.47	7.30	40.53	61.16
171	1127.56	399.47	7.20	40.33	61.17
172	1127.56	399.23	7.50	40.17	61.18
173	1127.56	398.37	7.33	40.03	61.18
174	1127.56	399.53	7.53	39.97	61.18
175	1127.56	398.83	7.80	40.07	61.18
176	1127.56	399.33	8.03	40.03	61.17
177	1127.56	399.13	8.13	40.03	61.17
178	1127.56	398.87	7.97	39.80	61.15
179	1127.56	399.07	8.27	39.80	61.14
180	1127.56	399.10	8.27	40.03	61.14
181	1127.56	399.87	10.50	40.00	61.15
182	1127.56	400.27	10.30	39.83	61.15
183	1127.56	399.30	9.87	39.43	61.15
184	1127.56	399.13	7.87	39.30	61.16
185	1127.56	398.63	7.73	39.23	61.17
186	1127.56	399.60	5.83	39.13	61.18
187	1127.56	399.50	5.50	39.10	61.18
188	1127.56	399.57	5.60	39.03	61.16
189	1127.56	399.93	8.13	38.90	61.16
190	1127.56	399.80	8.40	38.73	61.15
191	1127.56	399.53	8.33	38.67	61.14
192	1127.56	398.87	7.77	38.57	61.14
193	1127.56	398.73	7.53	38.53	61.15
194	1127.56	398.73	7.73	38.37	61.17
195	1127.56	398.50	8.03	38.30	61.17
196	1127.56	399.37	7.20	38.23	61.17
197	1127.56	399.30	7.13	38.20	61.16
198	1127.56	400.63	7.30	38.10	61.16
199	1127.56	400.53	8.53	38.27	61.15
200	1127.56	400.87	8.70	38.20	61.15
201	1127.56	399.77	8.67	38.13	61.15
202	1127.56	399.27	7.97	37.80	61.16
203	1127.56	399.17	8.50	37.67	61.16
204	1127.56	398.87	8.03	37.60	61.17
205	1127.56	399.47	8.53	37.53	61.15
206	1127.56	399.73	7.73	37.43	61.14
207	1127.56	399.60	7.17	37.47	61.14
208	1127.56	399.37	7.30	37.43	61.14
209	1127.56	398.67	7.37	37.43	61.14
210	1127.56	399.30	8.17	37.30	61.14
211	1127.56	398.43	7.93	37.20	61.15
212	1127.56	398.40	7.70	36.97	61.16
213	1127.56	397.73	7.70	36.83	61.18
214	1127.56	398.63	7.83	36.77	61.18
215	1127.56	398.53	8.23	36.87	61.18
216	1127.56	397.70	10.07	36.97	61.17
217	1127.56	397.70	10.43	37.00	61.16
218	1127.56	398.30	9.83	36.97	61.15
219	1127.56	399.27	8.10	36.77	61.14
220	1127.56	398.80	7.47	36.63	61.14
221	1127.56	399.13	7.67	36.40	61.16
222	1127.56	400.23	7.77	36.23	61.17
223	1127.56	401.03	7.60	36.07	61.17
224	1127.56	400.30	7.73	36.00	61.17
225	1127.56	400.10	7.60	36.07	61.16
226	1127.56	399.00	8.07	36.07	61.15
227	1127.56	399.63	9.70	36.07	61.15
228	1127.56	398.90	9.73	35.90	61.15
229	1127.56	398.97	9.83	35.77	61.13
230	1127.56	399.60	8.50	35.60	61.14
231	1127.56	399.03	8.40	35.47	61.15
232	1127.56	398.83	7.63	35.40	61.17
233	1127.56	398.13	7.40	35.37	61.17
234	1127.56	398.50	7.77	35.33	61.16
235	1127.56	398.20	8.53	35.17	61.15
236	1127.56	398.20	8.83	35.17	61.14
237	1127.56	398.40	8.60	34.83	61.14
238	1127.56	400.13	8.53	34.87	61.15
239	1127.56	400.37	7.93	34.67	61.16
240	1127.56	399.93	7.53	34.87	61.17
241	1127.56	399.23	7.23	34.77	61.17
242	1127.56	399.33	7.57	34.93	61.18
243	1127.56	399.70	8.30	34.97	61.17
244	1127.56	399.97	10.77	34.90	61.16
245	1127.56	399.63	10.87	34.63	61.13
246	1127.56	399.00	10.53	34.43	61.14
247	1127.56	399.30	8.23	34.27	61.16
248	1127.56	399.57	7.93	34.17	61.18
249	1127.56	401.10	8.13	34.07	61.17
250	1127.56	400.37	7.63	34.13	61.15
251	1127.56	399.67	8.30	34.13	61.14
252	1127.56	398.50	7.97	34.10	61.13
253	1127.56	398.10	8.40	33.97	61.14
254	1127.56	398.67	7.97	33.83	61.15
255	1127.56	399.13	8.17	33.73	61.17
256	1127.56	399.93	8.20	33.63	61.17
257	1127.56	399.43	8.37	33.63	61.16
258	1127.56	399.60	8.30	33.70	61.15
259	1127.56	399.47	8.63	33.90	61.16
260	1127.56	399.37	8.40	33.90	61.16
261	1127.56	399.17	8.63	33.80	61.16
262	1127.56	398.90	8.07	33.53	61.15
263	1127.56	399.30	8.17	33.43	61.16
264	1127.56	399.20	8.43	33.37	61.17
265	1127.56	399.60	8.63	33.40	61.15
266	1127.56	398.20	9.03	33.40	61.14
267	1127.56	398.40	9.10	33.37	61.13
268	1127.56	398.30	9.37	33.20	61.14
269	1127.56	399.83	8.53	33.03	61.14
270	1127.56	399.13	8.00	32.73	61.18
271	1127.56	398.93	7.53	32.63	61.19
272	1127.56	399.40	7.80	32.53	61.19
273	1127.56	400.40	7.37	32.63	61.16
274	1127.56	399.90	8.13	32.57	61.15
275	1127.56	398.83	8.67	32.53	61.14
276	1127.56	397.70	8.93	32.50	61.14
277	1127.56	397.97	8.27	32.53	61.13
278	1127.56	397.60	7.80	32.43	61.14
279	1127.56	397.97	7.73	32.27	61.15
280	1127.56	398.60	9.20	32.07	61.16
281	1127.56	399.43	9.60	31.97	61.15
282	1127.56	399.63	9.97	32.03	61.15
283	1127.56	399.20	8.97	32.03	61.14
284	1127.56	399.10	8.83	32.07	61.14
285	1127.56	399.10	8.97	31.90	61.14
286	1127.56	399.57	8.77	31.70	61.15
287	1127.56	399.57	8.43	31.83	61.16
288	1127.56	399.50	8.27	31.70	61.16
289	1127.56	399.10	8.23	31.53	61.14
290	1127.56	399.07	8.60	31.03	61.14
291	1127.56	399.33	8.43	31.30	61.15
292	1127.56	399.00	8.57	31.23	61.16
293	1127.56	398.57	8.77	31.27	61.16
294	1127.56	398.60	8.83	30.87	61.14
295	1127.56	399.07	8.53	30.90	61.15
296	1127.56	399.57	8.13	30.80	61.15
297	1127.56	399.20	8.17	30.73	61.16
298	1127.56	398.53	8.53	30.70	61.18
299	1127.56	398.10	8.47	30.77	61.17
300	1127.56	398.47	8.90	30.77	61.16
301	1127.56	398.87	9.60	30.83	61.13
302	1127.56	399.37	9.97	30.77	61.13
303	1127.56	399.37	9.73	30.60	61.14
304	1127.56	400.83	8.73	30.47	61.15
305	1127.56	400.60	8.43	30.40	61.16
306	1127.56	400.37	7.87	30.50	61.15
307	1127.56	398.97	7.90	30.37	61.15
308	1127.56	399.30	7.97	30.33	61.12
309	1127.56	399.60	8.33	30.27	61.13
310	1127.56	399.27	8.57	30.30	61.13
311	1127.56	398.87	9.63	30.27	61.14
312	1127.56	398.43	9.77	30.23	61.14
313	1127.56	399.43	9.17	30.20	61.13
314	1127.56	400.27	7.93	30.30	61.17
315	1127.56	400.57	8.17	30.17	61.17
316	1127.56	399.60	8.40	30.00	61.18
317	1127.56	399.23	8.50	29.67	61.16
318	1127.56	399.03	8.10	29.33	61.18
319	1127.56	399.30	8.13	29.33	61.17
320	1127.56	399.57	8.33	29.30	61.17
321	1127.56	399.27	8.47	29.57	61.14
322	1127.56	398.70	9.03	29.53	61.15
323	1127.56	398.53	9.23	29.33	61.14
324	1127.56	399.33	9.17	29.30	61.14
325	1127.56	399.70	9.03	29.33	61.14
326	1127.56	399.80	7.77	29.43	61.13
327	1127.56	399.27	7.90	29.33	61.13
328	1127.56	399.60	7.93	29.17	61.14
329	1127.56	399.73	8.77	29.10	61.15
330	1127.56	399.90	8.40	29.00	61.15
331	1127.56	400.87	8.07	28.57	61.16
332	1127.56	399.47	7.77	28.63	61.15
333	1127.56	399.17	7.60	28.67	61.16
334	1127.56	398.53	7.90	28.77	61.13
335	1127.56	399.87	8.50	28.40	61.14
336	1127.56	401.13	9.43	28.33	61.16
337	1127.56	400.97	9.37	28.57	61.17
338	1127.56	400.40	9.30	28.90	61.19
339	1127.56	398.80	9.17	28.67	61.17
340	1127.56	399.03	9.27	28.57	61.18
341	1127.56	399.17	8.73	28.33	61.15
342	1127.56	399.13	9.60	28.37	61.15
343	1127.56	398.37	9.43	28.27	61.17
344	1127.56	398.57	10.10	28.17	61.16
345	1127.56	398.87	8.83	28.17	61.16
346	1127.56	399.03	9.37	28.23	61.15
347	1127.56	398.40	9.33	28.20	61.15
348	1127.56	398.07	9.67	28.17	61.15
349	1127.56	397.73	8.87	28.03	61.14
350	1127.56	398.53	8.67	28.00	61.14
351	1127.56	398.90	8.07	27.90	61.14
352	1127.56	398.57	8.00	27.77	61.14
