time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	726.26	403.93	-3.17	178.57	61.71
1	726.26	403.93	-3.17	178.57	61.71
2	726.26	404.33	-2.90	178.90	61.70
3	726.26	405.27	-2.80	178.87	61.69
4	726.26	405.10	-2.97	178.70	61.70
5	726.26	404.00	-3.43	178.57	61.71
6	726.26	403.23	-3.63	178.57	61.72
7	726.26	403.40	-3.47	178.60	61.72
8	726.26	403.43	-2.43	178.60	61.70
9	726.26	402.57	-2.13	178.50	61.70
10	726.26	402.03	-1.77	178.40	61.70
11	726.26	401.43	-2.43	178.30	61.71
12	726.26	402.73	-3.03	178.23	61.74
13	726.26	402.97	-3.00	178.17	61.74
14	726.26	403.60	-1.33	178.17	61.73
15	726.26	403.07	-0.60	178.17	61.70
16	726.26	402.23	-0.63	178.17	61.70
17	726.26	402.30	-2.33	178.30	61.70
18	726.26	401.83	-2.70	178.17	61.71
19	726.26	402.47	-2.90	178.13	61.69
20	726.26	402.77	-2.57	177.83	61.68
21	726.26	402.77	-2.50	177.77	61.67
22	726.26	401.93	-1.97	177.63	61.69
23	726.26	400.90	-4.07	177.57	61.69
24	726.26	401.70	-6.10	177.50	61.70
25	726.26	403.43	-6.60	177.40	61.71
26	726.26	404.70	-4.57	177.33	61.72
27	726.26	404.37	-2.30	177.30	61.71
28	726.26	403.83	-2.00	177.20	61.70
29	726.26	402.47	-1.67	177.13	61.69
30	726.26	402.03	-2.37	177.03	61.69
31	726.26	401.97	-2.10	176.87	61.70
32	726.26	403.90	-2.63	176.80	61.70
33	726.26	405.17	-2.50	176.67	61.70
34	726.26	404.10	-2.60	176.77	61.70
35	726.26	403.03	-1.93	176.67	61.69
36	726.26	402.23	-1.30	176.67	61.68
37	726.26	403.67	-2.33	176.47	61.68
38	726.26	404.00	-2.67	176.43	61.68
39	726.26	404.30	-3.70	176.23	61.69
40	726.26	404.67	-3.00	176.17	61.69
41	726.26	404.80	-3.07	176.00	61.68
42	726.26	404.70	-1.83	176.00	61.67
43	726.26	403.60	-1.37	175.83	61.68
44	726.26	403.20	-1.43	175.70	61.70
45	726.26	403.13	-2.03	175.27	61.72
46	726.26	402.83	0.13	175.20	61.72
47	726.26	402.47	0.23	175.10	61.71
48	726.26	402.60	1.03	175.37	61.68
49	726.26	403.63	-1.37	175.27	61.70
50	726.26	404.43	-0.97	175.33	61.70
51	726.26	403.87	-1.43	175.03	61.71
52	726.26	404.13	-1.40	174.90	61.70
53	726.26	404.17	-2.90	174.63	61.69
54	726.26	404.40	-2.60	174.63	61.68
55	726.26	403.50	-1.70	174.57	61.68
56	726.26	403.37	-0.40	174.47	61.69
57	726.26	404.40	-0.63	174.37	61.69
58	726.26	403.50	-1.23	174.23	61.70
59	726.26	403.57	-0.90	174.10	61.70
60	726.26	402.90	-0.67	174.03	61.69
61	726.26	405.07	-0.60	174.00	61.68
62	726.26	405.53	-0.40	173.90	61.66
63	726.26	405.13	-0.37	173.70	61.67
64	726.26	403.83	-1.40	173.53	61.68
65	726.26	403.73	-2.37	173.40	61.69
66	726.26	403.40	-2.20	173.30	61.69
67	726.26	403.20	-1.00	173.20	61.68
