time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	0.00	201.24	36.61	-52.94	61.66
0.2	0.00	201.24	36.61	-52.94	61.66
0.4	0.00	201.24	36.61	-52.94	61.66
0.6	0.00	200.70	36.61	-52.90	61.66
0.8	0.00	201.18	37.17	-52.78	61.65
1	0.00	200.86	37.13	-52.69	61.64
1.2	0.00	200.98	37.96	-52.58	61.62
1.4	0.00	201.34	38.92	-52.49	61.62
1.6	0.00	201.62	38.64	-52.44	61.61
1.8	0.00	200.80	38.40	-52.36	61.61
2	0.00	201.16	38.40	-52.30	61.62
2.2	0.00	201.28	37.29	-52.26	61.62
2.4	0.00	201.26	36.77	-52.24	61.62
2.6	0.00	201.30	37.29	-52.17	61.62
2.8	0.00	200.25	38.96	-52.18	61.62
3	0.00	199.43	38.96	-52.15	61.62
3.2	0.00	199.63	39.36	-52.17	61.62
3.4	0.00	199.95	38.96	-52.16	61.62
3.6	0.00	200.25	38.44	-52.21	61.62
3.8	0.00	200.76	36.21	-52.23	61.63
4	0.00	200.64	35.77	-52.18	61.63
4.2	0.00	200.09	35.69	-52.19	61.63
4.4	0.00	200.48	35.73	-52.13	61.63
4.6	0.00	200.17	35.97	-52.05	61.64
4.8	0.00	200.39	36.21	-51.98	61.65
5	0.00	200.09	36.57	-51.91	61.63
5.2	0.00	199.99	36.01	-52.29	61.64
5.4	0.00	198.71	36.09	-52.26	61.63
5.6	0.00	198.93	36.29	-52.20	61.62
5.8	0.00	199.45	34.69	-52.13	61.61
6	0.00	199.39	34.69	-52.18	61.62
6.2	0.00	199.61	35.37	-51.69	61.62
6.4	0.00	199.63	35.61	-51.44	61.62
6.6	0.00	199.67	35.45	-51.38	61.62
6.8	0.00	199.85	37.29	-51.34	61.62
7	0.00	200.03	37.60	-51.17	61.62
7.2	0.00	200.21	37.76	-51.08	61.62
7.4	0.00	200.68	37.76	-51.20	61.61
7.6	0.00	200.64	38.04	-51.17	61.61
7.8	0.00	200.60	39.20	-51.08	61.61
8	0.00	201.32	39.52	-51.04	61.62
8.2	0.00	201.72	39.80	-51.02	61.62
8.4	0.00	200.88	40.51	-51.02	61.62
8.6	0.00	201.14	40.63	-50.91	61.61
8.8	0.00	200.70	39.68	-50.86	61.57
9	0.00	200.31	39.36	-50.88	61.51
9.2	0.00	201.44	39.28	-50.82	61.51
9.4	0.00	202.06	38.36	-50.73	61.50
9.6	0.00	201.96	38.28	-50.71	61.50
9.8	0.00	201.50	38.24	-50.64	61.53
10	0.00	201.18	38.32	-50.51	61.59
10.2	0.00	198.95	38.24	-50.32	61.59
10.4	0.00	198.53	38.72	-50.27	61.60
10.6	0.00	198.85	38.76	-50.22	61.61
10.8	0.00	199.31	38.84	-50.30	61.61
11	0.00	199.23	39.00	-50.24	61.63
11.2	0.00	200.09	38.76	-50.33	61.63
11.4	0.00	201.02	38.24	-50.25	61.63
11.6	0.00	200.94	38.12	-50.21	61.63
11.8	0.00	201.30	38.00	-50.15	61.63
12	0.00	201.58	37.52	-50.16	61.62
12.2	0.00	200.29	37.32	-50.16	61.64
12.4	0.00	199.51	37.17	-50.21	61.64
12.6	0.00	199.27	36.85	-50.60	61.64
12.8	0.00	199.35	36.21	-50.61	61.64
13	0.00	199.19	36.09	-50.57	61.60
13.2	0.00	199.67	36.29	-50.18	61.59
13.4	0.00	199.99	36.57	-50.12	61.55
13.6	0.00	199.47	36.05	-49.71	61.55
13.8	0.00	199.47	36.69	-49.86	61.56
14	0.00	199.75	36.85	-49.78	61.60
14.2	0.00	200.31	36.85	-50.19	61.58
14.4	0.00	200.15	36.65	-50.26	61.62
14.6	0.00	200.35	37.32	-50.18	61.62
14.8	0.00	200.33	37.48	-49.92	61.62
15	0.00	200.92	37.72	-49.94	61.63
15.2	0.00	200.86	37.60	-49.82	61.63
15.4	0.00	201.14	37.88	-49.65	61.63
15.6	0.00	200.45	37.92	-49.64	61.63
15.8	0.00	199.87	37.40	-49.59	61.63
16	0.00	199.47	37.25	-49.55	61.62
16.2	0.00	199.69	37.44	-49.50	61.62
16.4	0.00	200.50	37.40	-49.42	61.61
16.6	0.00	202.59	37.56	-49.33	61.61
16.8	0.00	203.07	38.04	-49.37	61.62
17	0.00	203.01	38.44	-49.28	61.65
17.2	0.00	203.29	38.72	-49.21	61.65
17.4	0.00	203.19	39.48	-49.27	61.66
17.6	0.00	201.78	39.56	-49.24	61.66
17.8	0.00	201.22	39.72	-49.02	61.66
18	0.00	201.42	39.64	-49.06	61.62
18.2	0.00	201.66	39.76	-49.00	61.62
18.4	0.00	201.44	39.28	-48.84	61.61
18.6	0.00	201.22	39.00	-48.74	61.59
18.8	0.00	201.82	38.96	-48.64	61.59
19	0.00	201.54	38.88	-48.49	61.59
19.2	0.00	201.66	38.52	-48.44	61.59
19.4	0.00	201.92	38.32	-48.41	61.59
19.6	0.00	202.24	38.76	-48.34	61.59
19.8	0.00	202.10	38.92	-48.36	61.59
20	0.00	202.00	39.32	-48.34	61.59
20.2	0.00	201.08	39.60	-48.25	61.59
20.4	0.00	200.98	39.96	-48.12	61.59
20.6	0.00	200.44	40.00	-48.08	61.59
20.8	0.00	200.46	40.24	-47.98	61.59
21	0.00	200.01	39.96	-47.90	61.60
21.2	0.00	199.59	40.32	-47.84	61.61
21.4	0.00	199.65	40.32	-47.84	61.63
21.6	0.00	201.10	40.32	-47.81	61.65
21.8	0.00	200.64	40.35	-47.78	61.65
22	0.00	200.96	40.79	-47.73	61.65
22.2	0.00	201.68	41.39	-47.72	61.65
22.4	0.00	201.30	42.11	-47.66	61.63
22.6	0.00	200.70	41.99	-47.59	61.60
22.8	0.00	200.98	41.91	-47.54	61.61
23	0.00	201.00	41.39	-47.24	61.61
23.2	0.00	201.16	40.28	-47.16	61.61
23.4	0.00	201.40	39.24	-47.18	61.61
23.6	0.00	201.88	39.00	-47.18	61.61
23.8	0.00	202.24	38.28	-47.18	61.62
24	0.00	202.28	38.04	-47.44	61.62
24.2	0.00	201.66	38.16	-47.43	61.61
24.4	0.00	200.82	38.12	-47.41	61.61
24.6	0.00	200.80	38.24	-47.32	61.61
24.8	0.00	200.43	38.56	-47.21	61.61
25	0.00	201.14	38.52	-47.24	61.62
25.2	0.00	201.30	38.32	-47.18	61.62
