time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	0.00	202.10	19.31	119.45	64.47
0.5	0.00	202.10	19.31	119.45	64.47
1	0.00	202.10	19.31	119.45	64.47
1.5	0.00	201.64	18.83	119.32	64.48
2	0.00	201.92	18.83	119.32	64.50
2.5	0.00	202.02	18.75	119.30	64.51
3	0.00	202.04	18.43	119.22	64.51
3.5	0.00	201.64	18.35	119.22	64.51
4	0.00	202.47	18.43	119.24	64.50
4.5	0.00	202.38	18.63	119.28	64.50
5	0.00	202.65	18.91	119.37	64.50
5.5	0.00	203.33	19.15	119.44	64.50
6	0.00	202.51	19.55	119.49	64.49
6.5	0.00	202.55	19.86	119.53	64.50
7	0.00	201.68	19.98	119.58	64.50
7.5	0.00	200.96	20.06	119.58	64.50
8	0.00	200.09	20.26	119.62	64.50
8.5	0.00	201.28	20.18	119.71	64.50
9	0.00	201.26	20.14	119.85	64.50
9.5	0.00	201.44	20.30	119.94	64.50
10	0.00	201.66	20.26	120.01	64.50
10.5	0.00	201.42	20.18	120.09	64.49
11	0.00	201.70	20.14	120.09	64.48
11.5	0.00	200.78	20.22	120.07	64.48
12	0.00	201.40	20.14	120.09	64.48
12.5	0.00	200.86	20.22	120.12	64.48
13	0.00	201.20	20.46	120.14	64.47
13.5	0.00	201.26	21.62	120.11	64.48
14	0.00	201.72	21.70	120.05	64.47
14.5	0.00	201.46	21.74	119.95	64.47
15	0.00	202.02	21.58	119.81	64.47
15.5	0.00	202.10	21.54	119.64	64.47
16	0.00	201.32	20.46	119.45	64.47
16.5	0.00	201.04	20.46	119.21	64.47
17	0.00	201.68	20.58	119.08	64.47
17.5	0.00	202.20	20.94	118.86	64.47
18	0.00	202.14	21.22	118.64	64.47
18.5	0.00	202.20	21.34	118.49	64.47
19	0.00	202.53	21.46	118.26	64.47
19.5	0.00	201.54	21.34	117.94	64.47
20	0.00	201.16	21.14	117.71	64.46
20.5	0.00	200.70	20.78	117.43	64.46
21	0.00	200.07	20.66	117.15	64.46
21.5	0.00	200.25	20.46	116.91	64.47
22	0.00	200.64	20.18	116.81	64.47
22.5	0.00	201.58	20.06	116.50	64.46
23	0.00	201.38	20.14	116.21	64.46
23.5	0.00	202.00	20.10	116.08	64.46
24	0.00	201.52	20.06	115.77	64.47
24.5	0.00	201.14	20.06	115.34	64.47
25	0.00	200.78	20.06	115.06	64.48
25.5	0.00	200.84	19.82	114.76	64.47
26	0.00	201.10	19.71	114.27	64.48
26.5	0.00	200.58	19.82	113.97	64.46
27	0.00	201.74	19.94	113.65	64.45
27.5	0.00	200.80	19.90	113.33	64.45
28	0.00	201.52	19.75	113.08	64.45
28.5	0.00	201.38	19.94	112.82	64.44
29	0.00	202.04	19.67	112.57	64.44
29.5	0.00	200.96	19.74	112.25	64.44
30	0.00	201.56	19.98	111.98	64.47
30.5	0.00	201.38	20.42	111.70	64.51
31	0.00	201.56	20.34	111.42	64.56
31.5	0.00	202.04	20.62	111.11	64.61
32	0.00	201.90	21.82	110.88	64.66
32.5	0.00	202.32	21.78	110.60	64.67
33	0.00	202.14	21.90	110.22	64.71
33.5	0.00	202.85	22.02	109.94	64.72
34	0.00	202.04	22.02	109.63	64.78
34.5	0.00	202.61	20.66	109.31	64.82
35	0.00	201.92	20.86	109.00	64.82
35.5	0.00	202.38	20.82	108.80	64.83
36	0.00	201.66	21.10	108.53	64.84
36.5	0.00	202.42	21.18	108.28	64.79
37	0.00	201.78	21.54	107.98	64.76
37.5	0.00	202.49	21.50	107.72	64.77
38	0.00	201.78	21.62	107.43	64.75
38.5	0.00	201.88	21.50	107.07	64.71
39	0.00	200.88	21.30	106.76	64.73
39.5	0.00	202.08	21.06	106.48	64.73
40	0.00	200.94	20.82	106.18	64.75
40.5	0.00	201.70	20.50	105.87	64.75
41	0.00	201.54	19.39	105.61	64.78
41.5	0.00	201.96	19.39	105.32	64.78
42	0.00	201.52	19.23	105.04	64.81
42.5	0.00	201.84	19.31	104.79	64.82
43	0.00	201.54	19.31	104.49	64.84
43.5	0.00	200.74	20.18	104.19	64.86
44	0.00	201.10	20.18	103.95	65.51
44.5	0.00	200.48	20.42	103.73	65.49
45	0.00	201.08	20.42	103.44	65.49
45.5	0.00	201.16	20.50	103.26	65.51
46	0.00	202.65	20.82	103.05	65.49
46.5	0.00	202.40	21.46	102.83	64.86
47	0.00	202.93	21.74	102.58	64.86
47.5	0.00	202.36	22.22	102.40	64.85
48	0.00	201.58	22.34	102.07	64.86
48.5	0.00	201.60	22.22	101.84	64.86
49	0.00	201.34	21.90	101.51	64.86
49.5	0.00	201.66	21.74	101.21	64.87
50	0.00	201.48	21.34	100.92	64.87
50.5	0.00	202.10	21.26	100.73	64.84
51	0.00	200.62	21.34	100.49	64.84
51.5	0.00	201.02	21.14	100.31	64.84
52	0.00	200.09	21.14	100.06	64.84
52.5	0.00	200.52	21.30	99.80	64.84
53	0.00	200.56	21.38	99.56	64.84
53.5	0.00	201.38	21.38	99.33	64.84
54	0.00	201.72	21.50	99.09	64.84
54.5	0.00	202.30	21.46	98.90	64.84
55	0.00	202.44	21.30	98.66	64.84
55.5	0.00	202.04	21.14	98.42	64.84
56	0.00	202.06	19.90	98.17	64.84
56.5	0.00	201.36	19.70	97.91	64.84
57	0.00	202.04	19.63	97.65	64.82
57.5	0.00	201.56	19.59	97.43	64.82
58	0.00	202.48	19.39	97.21	64.82
58.5	0.00	202.06	20.18	96.98	64.82
59	0.00	202.61	20.02	96.74	64.82
59.5	0.00	201.36	19.90	96.54	64.83
60	0.00	202.14	19.74	96.35	64.87
60.5	0.00	201.00	19.74	96.13	64.86
61	0.00	201.50	19.90	95.95	64.86
61.5	0.00	200.84	20.10	95.74	64.86
62	0.00	201.56	20.34	95.49	64.87
62.5	0.00	201.08	20.54	95.24	64.84
63	0.00	201.56	20.90	95.04	64.84
63.5	0.00	201.40	21.46	94.84	64.85
64	0.00	202.06	21.50	94.65	64.85
64.5	0.00	201.78	21.38	94.47	64.85
65	0.00	201.26	21.46	94.31	64.85
65.5	0.00	201.12	21.38	94.14	64.85
66	0.00	201.14	21.10	93.90	64.84
66.5	0.00	200.60	21.14	93.74	64.84
67	0.00	200.25	21.38	93.56	64.83
67.5	0.00	201.08	21.54	93.41	64.83
68	0.00	201.60	21.54	93.22	64.83
68.5	0.00	202.10	21.54	93.21	64.83
69	0.00	201.98	21.62	93.02	64.83
69.5	0.00	202.57	21.74	92.86	64.83
70	0.00	201.68	21.58	92.68	64.83
70.5	0.00	201.52	21.82	92.53	64.82
71	0.00	200.50	22.10	92.28	64.82
71.5	0.00	201.54	22.42	92.14	64.81
72	0.00	200.90	22.50	91.99	64.81
72.5	0.00	201.52	22.66	91.80	64.83
73	0.00	201.38	22.89	91.65	64.83
73.5	0.00	201.76	22.93	91.46	64.83
74	0.00	201.66	22.97	91.27	64.83
74.5	0.00	201.40	23.05	91.09	64.84
75	0.00	201.96	23.25	90.93	64.82
75.5	0.00	201.04	23.13	90.75	64.82
76	0.00	201.50	23.01	90.57	64.82
76.5	0.00	201.28	22.89	90.41	64.82
77	0.00	201.48	22.85	90.27	64.82
77.5	0.00	201.40	22.73	90.09	64.82
78	0.00	201.94	22.66	89.93	64.82
78.5	0.00	201.88	22.81	89.83	64.82
79	0.00	201.14	22.77	89.68	64.82
79.5	0.00	202.02	22.70	89.53	64.81
80	0.00	201.82	22.85	89.40	64.81
80.5	0.00	202.14	22.93	89.26	64.79
81	0.00	202.18	22.81	89.03	64.78
81.5	0.00	202.63	22.77	88.73	64.78
82	0.00	202.59	22.62	88.54	64.82
82.5	0.00	202.46	22.26	88.39	64.82
83	0.00	202.38	21.98	88.20	64.83
83.5	0.00	202.04	21.66	88.10	64.85
84	0.00	201.50	21.70	88.10	64.89
84.5	0.00	201.84	21.62	87.98	64.88
85	0.00	201.14	21.58	87.83	64.91
85.5	0.00	201.26	21.62	87.70	64.94
86	0.00	201.04	21.74	87.48	64.95
86.5	0.00	200.86	21.54	87.29	64.94
87	0.00	200.43	21.46	87.09	64.94
87.5	0.00	200.50	21.46	86.90	64.94
88	0.00	200.43	21.54	86.69	64.95
88.5	0.00	200.64	21.54	86.57	64.95
89	0.00	200.90	21.58	86.40	64.97
89.5	0.00	200.76	21.70	85.89	64.98
90	0.00	200.56	21.66	85.73	64.98
90.5	0.00	200.94	21.66	85.60	64.98
91	0.00	200.74	21.74	85.44	64.99
91.5	0.00	201.30	21.66	85.33	64.96
92	0.00	201.14	21.62	85.59	64.94
92.5	0.00	201.78	21.78	85.45	64.91
93	0.00	201.92	21.54	85.33	64.92
93.5	0.00	201.90	21.26	85.20	64.89
94	0.00	202.30	21.46	85.06	64.89
94.5	0.00	202.71	21.66	84.92	64.91
95	0.00	202.83	21.70	84.78	64.89
95.5	0.00	202.61	22.06	84.68	65.45
96	0.00	202.51	22.73	84.55	65.37
96.5	0.00	201.86	22.97	84.45	65.29
97	0.00	201.82	23.05	84.30	65.19
97.5	0.00	201.46	23.25	84.22	65.13
98	0.00	201.26	23.25	84.04	64.48
98.5	0.00	201.24	23.05	83.90	64.48
99	0.00	201.70	22.85	83.75	64.49
99.5	0.00	201.82	23.05	83.66	64.51
100	0.00	201.86	23.01	83.51	64.51
100.5	0.00	201.94	23.13	83.34	64.51
101	0.00	201.42	23.25	83.19	64.51
101.5	0.00	201.02	23.41	83.03	64.51
102	0.00	200.45	23.33	82.91	64.50
102.5	0.00	200.50	23.37	82.77	64.50
103	0.00	200.47	23.29	82.73	64.51
103.5	0.00	201.42	22.93	82.61	64.52
104	0.00	201.42	22.69	82.52	64.52
104.5	0.00	201.46	22.38	82.37	64.54
105	0.00	201.26	22.10	82.23	64.54
105.5	0.00	201.50	22.02	82.07	64.54
106	0.00	200.86	22.18	81.95	64.54
106.5	0.00	201.50	22.10	81.77	64.54
107	0.00	201.16	22.22	81.59	64.53
107.5	0.00	201.40	22.42	81.49	64.54
108	0.00	201.08	22.50	81.38	64.54
108.5	0.00	201.32	22.66	81.27	64.54
109	0.00	200.58	22.54	81.16	64.54
109.5	0.00	200.94	22.69	81.08	64.54
110	0.00	200.96	22.77	80.95	64.54
110.5	0.00	200.84	22.89	80.82	64.54
111	0.00	200.58	22.77	80.70	64.52
111.5	0.00	200.82	23.17	80.62	64.52
112	0.00	200.90	23.13	80.50	64.52
112.5	0.00	200.52	23.25	80.35	64.51
113	0.00	201.04	23.01	80.25	64.51
113.5	0.00	201.46	22.89	80.12	64.52
114	0.00	200.92	22.70	79.97	64.52
114.5	0.00	201.52	22.58	79.87	64.51
115	0.00	201.70	22.26	79.77	64.51
115.5	0.00	201.62	22.42	79.57	64.51
116	0.00	201.70	22.54	79.47	64.51
116.5	0.00	202.49	22.74	79.38	64.51
117	0.00	202.36	22.85	79.52	64.52
117.5	0.00	202.55	22.81	79.41	64.52
118	0.00	202.69	22.58	79.37	64.53
118.5	0.00	202.65	22.34	79.21	64.54
119	0.00	202.53	21.86	79.03	64.53
119.5	0.00	201.32	21.46	78.66	64.53
120	0.00	200.92	21.66	78.53	64.53
120.5	0.00	201.06	21.62	78.36	64.53
121	0.00	200.44	21.74	78.26	64.53
121.5	0.00	200.82	22.14	78.20	64.54
122	0.00	201.38	22.42	78.08	64.54
122.5	0.00	202.14	22.30	78.00	64.54
123	0.00	201.14	22.42	78.03	64.53
123.5	0.00	201.30	22.50	77.95	64.51
124	0.00	200.48	22.38	77.88	64.51
124.5	0.00	199.87	22.54	77.80	64.51
125	0.00	200.07	22.77	77.70	64.50
125.5	0.00	200.31	22.89	77.56	64.51
126	0.00	200.92	23.09	77.50	64.52
126.5	0.00	200.41	23.53	77.41	64.52
127	0.00	201.76	23.61	77.31	64.51
127.5	0.00	200.80	22.89	77.22	64.51
128	0.00	201.06	23.09	77.10	64.51
128.5	0.00	200.47	22.97	77.24	64.51
129	0.00	200.82	22.97	77.10	64.48
129.5	0.00	200.43	22.85	77.06	64.48
130	0.00	200.52	23.73	76.97	64.47
130.5	0.00	201.14	23.89	76.88	64.47
131	0.00	201.28	23.77	76.49	64.46
131.5	0.00	202.38	23.13	76.38	64.48
132	0.00	201.98	23.01	76.19	64.49
132.5	0.00	202.45	22.73	76.05	64.49
133	0.00	201.64	21.98	75.95	64.49
