time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	0.00	402.75	36.53	146.35	69.48
0.2	0.00	402.75	36.53	146.35	69.48
0.4	0.00	402.75	36.53	146.35	69.48
0.6	0.00	402.75	36.53	146.35	69.48
0.8	0.00	403.30	36.42	146.36	69.49
1	0.00	403.60	36.31	146.43	69.48
1.2	0.00	403.98	36.48	146.47	69.48
1.4	0.00	404.57	36.56	146.49	69.48
1.6	0.00	404.78	36.68	146.48	69.48
1.8	0.00	403.95	36.59	146.41	69.49
2	0.00	403.97	36.42	146.39	69.49
2.2	0.00	403.02	36.50	146.40	69.50
2.4	0.00	403.20	36.45	146.36	69.50
2.6	0.00	403.36	35.91	146.33	69.50
2.8	0.00	402.99	35.85	146.32	69.50
3	0.00	403.37	35.74	146.34	69.50
3.2	0.00	404.28	35.65	146.34	69.49
3.4	0.00	404.34	35.85	146.34	69.50
3.6	0.00	404.35	35.79	146.20	69.49
3.8	0.00	404.01	35.99	146.20	69.50
4	0.00	403.22	36.45	146.21	69.49
4.2	0.00	403.12	36.56	146.21	69.49
4.4	0.00	402.32	36.68	146.21	69.49
4.6	0.00	402.38	36.70	146.22	69.49
4.8	0.00	402.22	36.56	146.21	69.49
5	0.00	402.49	36.73	146.33	69.49
5.2	0.00	402.58	36.59	146.34	69.49
5.4	0.00	403.33	36.59	146.32	69.49
5.6	0.00	403.33	36.79	146.30	69.49
5.8	0.00	403.37	36.65	146.30	69.49
6	0.00	403.26	36.70	146.29	69.49
6.2	0.00	402.79	36.70	146.30	69.49
6.4	0.00	402.59	36.65	146.26	69.48
6.6	0.00	402.16	36.79	146.25	69.49
6.8	0.00	403.26	36.65	146.28	69.48
7	0.00	403.07	36.39	146.30	69.48
7.2	0.00	403.68	36.19	146.25	69.47
7.4	0.00	402.93	36.08	146.23	69.48
7.6	0.00	404.04	35.96	146.21	69.48
7.8	0.00	405.06	35.71	146.20	69.48
8	0.00	404.95	35.48	146.13	69.48
