time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	0.00	402.80	7.20	219.52	73.12
0.2	0.00	402.80	7.20	219.52	73.12
0.4	0.00	402.80	7.20	219.52	73.12
0.6	0.00	402.14	7.12	219.49	73.08
0.8	0.00	402.94	7.12	219.51	73.05
1	0.00	403.42	7.20	219.51	73.04
1.2	0.00	404.39	7.12	219.48	73.08
1.4	0.00	405.01	7.16	219.61	73.09
1.6	0.00	405.03	7.24	219.57	73.11
1.8	0.00	404.59	7.12	219.53	73.10
2	0.00	403.46	6.84	219.54	73.15
2.2	0.00	402.66	6.80	219.57	73.09
2.4	0.00	401.90	6.76	219.53	73.02
2.6	0.00	402.36	6.88	219.56	72.97
2.8	0.00	402.90	6.72	219.64	72.95
3	0.00	403.76	6.92	219.64	72.88
3.2	0.00	404.09	6.76	219.65	72.88
3.4	0.00	404.01	6.76	219.68	72.87
3.6	0.00	403.70	6.72	219.67	72.88
3.8	0.00	403.08	7.00	219.64	72.89
4	0.00	402.82	7.00	219.68	72.90
4.2	0.00	402.74	7.00	219.64	72.90
4.4	0.00	403.95	6.68	219.57	72.93
4.6	0.00	404.43	6.60	219.55	72.93
4.8	0.00	404.43	6.56	219.54	72.92
5	0.00	404.27	6.76	219.48	72.92
5.2	0.00	403.82	6.88	219.48	72.92
5.4	0.00	402.60	6.96	219.52	72.92
5.6	0.00	402.16	6.96	219.50	72.92
5.8	0.00	401.11	6.84	219.48	72.92
6	0.00	401.27	6.56	219.52	72.92
6.2	0.00	402.50	6.68	219.56	72.92
6.4	0.00	402.96	6.92	219.52	72.92
6.6	0.00	403.28	6.88	219.58	72.92
6.8	0.00	404.35	6.80	219.58	72.98
7	0.00	404.25	6.84	219.57	72.97
7.2	0.00	403.50	6.76	219.53	72.97
7.4	0.00	402.94	6.76	219.56	72.96
7.6	0.00	402.24	6.80	219.52	72.95
7.8	0.00	402.06	7.12	219.58	72.90
8	0.00	402.40	7.12	219.56	72.89
8.2	0.00	402.28	6.92	219.55	72.92
8.4	0.00	403.48	6.64	219.51	72.95
8.6	0.00	403.99	6.36	219.46	72.96
8.8	0.00	404.21	6.16	219.37	72.96
9	0.00	404.09	5.80	219.30	73.03
9.2	0.00	404.07	5.88	219.26	73.06
9.4	0.00	403.56	6.08	219.28	72.99
9.6	0.00	403.20	6.12	219.28	72.94
9.8	0.00	402.82	6.08	219.26	72.88
10	0.00	403.04	6.56	219.32	72.78
10.2	0.00	403.66	6.76	219.33	72.67
10.4	0.00	403.91	6.76	219.27	72.67
10.6	0.00	404.13	6.80	219.23	72.68
10.8	0.00	404.09	6.84	219.20	72.68
11	0.00	403.44	6.48	219.12	72.68
11.2	0.00	402.16	6.36	219.08	72.68
11.4	0.00	401.69	6.28	219.06	72.68
11.6	0.00	401.43	6.44	219.12	72.67
11.8	0.00	401.83	6.68	219.15	72.66
12	0.00	402.08	8.71	219.13	72.68
12.2	0.00	403.46	8.43	219.10	72.70
12.4	0.00	403.46	8.39	219.03	72.70
12.6	0.00	404.83	8.32	218.92	72.71
12.8	0.00	404.63	7.88	218.85	72.72
13	0.00	404.85	6.12	218.75	72.70
13.2	0.00	403.81	6.56	218.69	72.68
13.4	0.00	403.62	6.72	218.69	72.70
13.6	0.00	402.00	6.76	218.60	72.70
13.8	0.00	400.95	6.88	218.53	72.71
14	0.00	401.69	6.72	218.49	72.72
