time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
110	0.00	201.68	2.11	0.48	60.96
110.01	0.00	201.68	2.11	0.48	60.96
110.02	0.00	201.68	2.11	0.48	60.96
110.03	0.00	201.68	2.11	0.48	60.96
110.04	0.00	201.68	2.11	0.48	60.96
110.05	0.00	201.68	2.11	0.48	60.96
110.06	0.00	201.68	2.11	0.48	60.96
110.07	0.00	201.68	2.11	0.48	60.96
110.08	0.00	201.68	2.11	0.48	60.96
110.09	0.00	201.68	2.11	0.48	60.96
110.1	0.00	201.68	2.11	0.48	60.96
110.11	0.00	201.68	2.11	0.48	60.96
110.12	0.00	201.68	2.11	0.48	60.96
110.13	0.00	201.68	2.11	0.48	60.96
110.14	0.00	201.68	2.11	0.48	60.96
110.15	0.00	201.68	2.11	0.48	60.96
110.16	0.00	201.68	2.11	0.48	60.96
110.17	0.00	201.68	2.11	0.48	60.96
110.18	0.00	201.68	2.11	0.48	60.96
110.19	0.00	201.68	2.11	0.48	60.96
110.2	0.00	201.68	2.11	0.48	60.96
110.21	0.00	201.68	2.11	0.48	60.96
110.22	0.00	201.68	2.11	0.48	60.96
110.23	0.00	201.68	2.11	0.48	60.96
110.24	0.00	201.68	2.11	0.48	60.96
110.25	0.00	201.68	2.11	0.48	60.96
110.26	0.00	201.68	2.11	0.48	60.96
110.27	0.00	201.68	2.11	0.48	60.96
110.28	0.00	201.68	2.11	0.48	60.96
110.29	0.00	201.68	2.11	0.48	60.96
110.3	0.00	201.68	2.11	0.48	60.96
110.31	0.00	201.68	2.11	0.48	60.96
110.32	0.00	201.68	2.11	0.48	60.96
110.33	0.00	201.68	2.11	0.48	60.96
110.34	0.01	201.68	2.11	0.48	60.96
110.35	0.00	201.68	2.11	0.48	60.96
110.36	0.00	201.68	2.11	0.48	60.96
110.37	0.00	201.68	2.11	0.48	60.96
110.38	0.00	201.68	2.11	0.48	60.96
110.39	0.00	201.68	2.11	0.48	60.96
110.4	0.00	201.68	2.11	0.48	60.96
110.41	0.00	201.68	2.11	0.48	60.96
110.42	0.00	201.68	2.11	0.48	60.96
110.43	0.00	201.68	2.11	0.48	60.96
110.44	0.00	201.68	2.11	0.48	60.96
110.45	0.00	201.68	2.11	0.48	60.96
110.46	0.00	201.68	2.11	0.48	60.96
110.47	0.00	201.68	2.11	0.48	60.96
110.48	0.00	201.68	2.11	0.48	60.96
110.49	0.00	201.68	2.11	0.48	60.96
110.5	0.00	201.68	2.11	0.48	60.96
110.51	0.00	201.62	2.13	0.49	60.96
110.52	0.00	201.58	2.05	0.49	60.96
110.53	0.00	201.55	2.04	0.49	60.96
110.54	0.00	201.54	2.04	0.49	60.96
110.55	0.00	201.51	2.06	0.49	60.96
110.56	0.00	201.47	2.04	0.49	60.96
110.57	0.00	201.41	2.03	0.49	60.96
110.58	0.00	201.39	2.00	0.49	60.96
110.59	0.00	201.35	1.99	0.49	60.96
110.6	0.00	201.17	2.07	0.49	60.96
110.61	0.00	201.12	2.04	0.49	60.96
110.62	0.00	201.08	2.03	0.49	60.96
110.63	0.00	201.08	2.01	0.48	60.96
110.64	0.00	201.13	2.00	0.48	60.96
110.65	0.00	201.10	2.02	0.49	60.96
110.66	0.00	201.15	2.05	0.48	60.96
110.67	0.00	201.13	2.07	0.48	60.96
110.68	0.00	201.15	2.06	0.48	60.96
110.69	0.00	201.17	2.16	0.48	60.96
110.7	0.00	201.18	2.18	0.48	60.96
110.71	0.00	201.20	2.21	0.48	60.96
110.72	0.00	201.21	2.29	0.49	60.96
110.73	0.00	201.27	2.29	0.49	60.96
110.74	0.00	201.27	2.29	0.49	60.96
110.75	0.00	201.22	2.30	0.50	60.96
110.76	0.00	201.25	2.29	0.50	60.96
110.77	0.00	201.29	2.32	0.50	60.96
110.78	0.00	201.32	2.32	0.50	60.96
110.79	0.00	201.36	2.31	0.49	60.96
110.8	0.00	201.40	2.32	0.49	60.96
110.81	0.00	201.42	2.35	0.49	60.96
110.82	0.00	201.47	2.36	0.49	60.96
110.83	0.00	201.52	2.35	0.49	60.96
110.84	0.00	201.51	2.35	0.49	60.96
110.85	0.00	201.49	2.36	0.49	60.96
110.86	0.00	201.52	2.35	0.49	60.96
110.87	0.00	201.49	2.35	0.49	60.96
110.88	0.00	201.51	2.35	0.49	60.96
110.89	0.00	201.56	2.33	0.49	60.96
110.9	0.00	201.59	2.34	0.49	60.96
110.91	0.00	201.54	2.35	0.49	60.96
110.92	0.00	201.43	2.35	0.49	60.96
110.93	0.00	201.40	2.31	0.49	60.96
110.94	0.00	201.40	2.25	0.49	60.96
110.95	0.00	201.37	2.26	0.49	60.96
110.96	0.00	201.33	2.24	0.49	60.96
110.97	0.00	201.28	2.23	0.48	60.96
110.98	0.00	201.25	2.17	0.49	60.96
110.99	0.00	201.23	2.18	0.49	60.96
111	0.00	201.24	2.19	0.49	60.96
111.01	0.00	201.21	2.18	0.50	60.96
111.02	0.00	201.17	2.20	0.49	60.96
111.03	0.00	201.14	2.24	0.50	60.96
111.04	0.00	201.13	2.25	0.49	60.96
111.05	0.00	201.11	2.27	0.49	60.96
111.06	0.00	201.09	2.28	0.49	60.96
111.07	0.00	201.06	2.23	0.50	60.96
111.08	0.00	201.06	2.23	0.49	60.96
111.09	0.00	201.00	2.24	0.49	60.96
111.1	0.00	201.01	2.27	0.49	60.96
