time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
904.9	49.67	402.56	-4.61	3.48	60.17
905	49.68	402.16	-2.62	3.48	60.15
905.1	49.66	401.57	-3.62	3.56	60.17
905.2	49.68	394.80	-2.82	3.61	60.36
905.3	49.68	403.86	-3.82	3.84	60.15
905.4	49.68	399.28	-2.82	4.15	60.10
905.5	49.68	404.85	-4.22	4.00	60.14
905.6	49.68	401.37	-4.61	4.15	60.16
905.7	49.67	404.15	-3.62	4.02	60.17
905.8	49.67	403.16	-4.22	4.18	60.17
905.9	49.67	401.96	-4.22	4.56	60.15
906	49.67	403.95	-4.02	4.38	60.18
906.1	49.67	398.98	-1.42	4.41	60.16
906.2	49.67	402.76	-4.81	4.33	60.17
906.3	49.67	399.78	-3.62	4.64	60.17
906.4	49.68	403.76	-4.41	4.77	60.18
906.5	49.67	398.58	-3.42	4.67	60.17
906.6	49.67	400.17	-3.02	4.59	60.17
906.7	49.67	400.67	-3.62	4.90	60.27
906.8	49.67	398.78	-3.02	4.98	60.17
906.9	49.68	401.57	-3.82	5.13	60.18
907	49.67	401.27	-7.21	5.05	60.18
907.1	49.67	400.57	-3.22	5.10	60.15
907.2	49.67	401.47	-3.02	5.36	60.16
907.3	49.67	399.18	-2.82	5.34	60.16
907.4	49.67	398.78	-3.22	5.36	60.15
907.5	49.67	400.67	-3.82	5.41	60.17
907.6	49.67	401.37	-3.02	5.54	60.16
907.7	49.67	397.49	-5.41	5.65	60.17
907.8	49.67	398.08	-3.62	5.67	60.17
907.9	49.67	399.78	-3.22	5.67	60.17
908	49.67	402.36	-3.62	5.93	60.16
908.1	49.67	398.58	-2.02	6.06	60.17
908.2	49.67	401.96	-3.02	5.88	60.18
908.3	49.67	400.87	-2.62	6.08	60.17
908.4	49.67	398.18	-12.19	6.37	60.17
908.5	49.67	404.05	-4.22	6.16	60.17
908.6	49.67	399.18	-2.82	6.24	60.15
908.7	49.67	402.16	-3.82	6.60	60.17
908.8	49.67	399.28	-3.02	6.52	60.17
908.9	49.67	398.78	-3.82	6.37	60.17
909	49.67	399.78	-2.22	6.50	60.18
909.1	49.67	399.68	0.17	6.73	60.17
909.2	49.67	402.56	-2.62	6.73	60.18
909.3	49.67	400.97	-3.02	6.88	60.16
909.4	49.67	401.17	-3.82	8.04	60.17
909.5	49.67	398.78	-4.41	6.83	60.15
909.6	49.67	400.07	-3.82	7.01	60.16
909.7	49.67	400.17	-3.42	7.04	60.17
909.8	49.67	400.37	-4.22	7.01	60.17
909.9	49.67	399.68	-1.82	7.22	60.00
910	49.67	402.26	-5.21	7.14	60.18
910.1	49.67	397.39	-2.42	7.27	60.16
910.2	49.67	399.68	14.32	7.24	60.17
910.3	49.67	398.18	-2.42	7.50	60.20
