time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	0.02	403.13	-43.77	135.27	58.03
1	0.02	403.13	-43.77	135.27	58.03
2	0.02	400.90	-45.47	135.40	58.03
3	0.02	401.37	-45.30	135.37	58.03
4	0.02	400.63	-46.17	135.27	58.04
5	0.02	401.77	-43.67	135.10	58.04
6	0.02	401.73	-43.33	135.17	58.04
7	0.02	402.73	-42.23	135.23	58.06
8	0.02	401.77	-44.60	135.33	58.10
9	0.02	401.07	-44.67	135.30	58.09
10	0.02	400.93	-45.17	135.23	58.07
11	0.02	402.23	-45.33	135.13	58.04
12	0.02	402.47	-45.63	135.20	58.05
13	0.02	401.87	-45.27	135.07	58.04
14	0.02	402.07	-45.13	135.17	58.00
15	0.02	402.27	-44.70	135.03	58.00
16	0.02	402.07	-45.00	135.23	58.04
17	0.02	401.27	-45.17	134.77	58.07
18	0.02	400.10	-46.67	134.87	58.06
19	0.02	400.87	-46.43	134.93	58.03
20	0.02	400.23	-46.13	135.57	58.02
21	0.02	401.60	-44.20	135.57	58.02
22	0.02	400.30	-42.73	135.47	58.03
23	0.02	402.10	-43.13	135.33	58.04
24	0.02	401.77	-43.40	135.37	58.04
25	0.02	402.67	-44.73	135.57	58.02
26	0.02	402.37	-44.43	135.67	58.01
27	0.02	402.40	-46.87	135.70	58.02
28	0.02	402.43	-47.67	135.63	58.03
29	0.02	401.93	-47.70	135.60	58.04
30	0.02	401.67	-45.13	135.23	58.03
31	0.02	400.07	-43.97	134.80	58.02
32	0.02	399.43	-43.87	134.17	58.01
33	0.02	399.23	-44.30	133.83	58.01
34	0.02	400.83	-44.43	133.47	58.02
35	0.02	401.63	-43.03	133.03	58.01
36	0.02	402.53	-42.60	132.53	58.00
37	0.02	402.07	-42.13	132.00	57.99
38	0.02	401.47	-43.07	131.47	57.99
39	0.02	401.03	-43.20	130.93	58.00
40	0.02	401.13	-43.47	130.37	58.00
41	0.02	401.67	-43.03	129.83	58.00
42	0.02	401.03	-42.67	129.27	58.00
43	0.02	401.97	-42.60	128.57	58.00
44	0.02	401.73	-43.07	127.93	58.00
45	0.02	401.77	-42.90	127.27	57.99
46	0.02	400.70	-42.60	126.70	57.98
47	0.02	400.60	-42.27	126.03	57.97
48	0.02	400.37	-42.40	125.43	57.97
49	0.02	401.60	-42.73	124.63	57.97
50	0.02	401.37	-42.70	123.97	57.98
51	0.02	401.93	-42.10	123.27	57.97
52	0.02	401.43	-41.93	122.63	57.97
53	0.02	401.90	-41.97	121.70	57.96
54	0.02	401.13	-42.53	121.00	57.97
55	0.02	400.23	-42.13	120.33	57.96
56	0.02	399.60	-41.57	119.93	57.94
57	0.02	400.33	-41.53	119.23	57.93
58	0.02	401.33	-42.13	118.60	57.93
59	0.02	401.97	-42.33	117.97	57.97
60	0.02	401.77	-42.73	117.40	57.97
61	0.02	400.93	-41.97	116.87	57.96
62	0.02	400.40	-41.57	116.23	57.94
63	0.02	400.70	-40.97	115.63	57.94
64	0.02	401.80	-41.63	114.93	57.96
65	0.02	402.30	-42.03	114.30	57.96
66	0.02	401.23	-41.87	113.57	57.96
67	0.02	400.30	-41.23	113.00	57.94
68	0.02	400.33	-41.67	112.43	57.93
69	0.02	401.40	-41.60	111.87	57.95
70	0.02	403.10	-41.63	111.23	57.96
71	0.02	402.70	-38.60	110.63	57.97
72	0.02	403.37	-38.93	110.20	57.98
73	0.02	401.50	-38.93	109.97	57.96
74	0.02	401.40	-41.27	109.47	57.94
75	0.02	400.13	-41.13	108.87	57.91
76	0.02	400.40	-38.60	108.03	57.94
77	0.02	401.70	-38.97	107.47	57.95
78	0.02	401.30	-37.03	106.97	57.96
79	0.02	402.40	-39.30	106.53	57.94
80	0.02	400.40	-38.47	106.03	57.94
81	0.02	401.67	-39.60	105.47	57.91
82	0.02	399.80	-40.00	104.87	57.92
83	0.02	400.63	-39.03	104.30	57.92
84	0.02	399.93	-39.40	103.83	57.94
85	0.02	400.90	-38.33	103.40	57.93
86	0.02	401.20	-39.27	103.00	57.92
87	0.02	401.87	-39.33	102.53	57.91
88	0.02	401.93	-39.90	102.03	57.92
89	0.02	402.67	-40.27	101.40	57.93
90	0.01	403.00	-40.10	101.00	57.94
91	0.01	402.80	-39.80	100.53	57.93
92	0.01	402.60	-39.27	100.17	57.93
93	0.01	402.77	-39.20	99.73	57.91
94	0.01	403.20	-39.67	99.07	57.89
95	0.01	402.67	-40.47	98.70	57.90
96	0.01	402.57	-40.57	98.20	57.91
97	0.01	402.30	-40.17	98.07	57.93
98	0.01	402.57	-39.53	97.63	57.93
99	0.01	401.73	-38.90	97.20	57.92
100	0.01	400.43	-39.20	96.67	57.92
101	0.01	400.43	-39.50	96.13	57.92
102	0.01	400.77	-39.40	95.63	57.93
103	0.01	402.23	-39.07	95.17	57.89
104	0.01	402.23	-38.53	94.80	57.88
105	0.01	402.70	-39.23	94.53	57.87
106	0.01	402.67	-40.00	94.27	57.90
107	0.01	402.57	-40.47	93.87	57.91
108	0.01	401.83	-41.00	93.47	57.91
109	0.01	401.47	-40.10	93.27	57.93
110	0.01	401.13	-39.03	92.97	57.91
111	0.01	401.50	-38.00	92.57	57.91
112	0.01	401.30	-38.23	91.97	57.90
113	0.01	400.73	-39.37	91.47	57.92
114	0.01	400.03	-39.63	91.07	57.92
115	0.01	399.87	-39.53	90.80	57.95
116	0.01	400.30	-42.97	90.57	57.93
117	0.01	400.33	-42.80	90.50	57.97
118	0.01	401.60	-43.17	90.03	57.93
119	0.01	401.80	-39.37	89.57	57.94
120	0.01	402.73	-40.43	89.00	57.90
121	0.01	401.87	-39.93	89.10	57.92
122	0.01	401.43	-39.40	88.87	57.92
123	0.01	400.50	-38.60	88.23	57.91
124	0.01	400.90	-38.53	87.47	57.89
125	0.01	400.33	-39.10	87.17	57.89
126	0.01	400.13	-38.40	87.07	57.92
127	0.01	399.20	-38.73	86.87	57.91
128	0.01	401.13	-38.77	86.67	57.91
129	0.01	401.47	-39.33	86.40	57.89
130	0.01	402.33	-39.00	86.10	57.89
131	0.01	402.97	-39.07	85.70	57.88
132	0.01	402.83	-38.67	85.40	57.88
133	0.01	403.70	-38.70	85.03	57.84
134	0.01	403.00	-40.00	84.70	57.85
135	0.01	404.77	-40.27	84.40	57.86
136	0.01	404.47	-40.03	84.13	57.88
137	0.01	403.67	-39.47	83.97	57.87
138	0.01	402.73	-40.00	83.70	57.86
139	0.01	402.70	-40.73	83.37	57.87
140	0.01	402.33	-40.03	82.93	57.88
141	0.01	402.27	-39.57	82.50	57.90
142	0.01	402.00	-39.13	82.37	57.88
143	0.01	401.50	-39.27	82.20	57.87
144	0.01	401.27	-38.93	82.10	57.86
