dataset,record_id,event_id,event_start,peak_date,split,t_days_since_peak,T_s,h_m,pressure_head_cm,pre_event_head_cm,peak_head_cm,event_amplitude_cm,rain_mm_day,event_rain_7d_mm,displacement_increment_30d_cm,R_obs
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,0.0,0.0,1.79,7.85,-0.875,7.85,8.725,74.93,87.12,0.4,1.0
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,1.0,86400.0,1.79,-1.1,-0.875,7.85,8.725,0.5099999999999909,87.12,0.4,-0.025787965616045856
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,2.0,172800.0,1.79,-1.1,-0.875,7.85,8.725,0.0,87.12,0.4,-0.025787965616045856
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,3.0,259200.0,1.79,-1.1,-0.875,7.85,8.725,0.0,87.12,0.4,-0.025787965616045856
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,4.0,345600.0,1.79,-1.2,-0.875,7.85,8.725,0.0,87.12,0.4,-0.03724928366762177
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,5.0,432000.0,1.79,-1.2,-0.875,7.85,8.725,0.0,87.12,0.4,-0.03724928366762177
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,6.0,518400.0,1.79,-1.2,-0.875,7.85,8.725,0.0,87.12,0.4,-0.03724928366762177
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,7.0,604800.0,1.79,-1.3,-0.875,7.85,8.725,0.0,87.12,0.4,-0.048710601719197714
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,8.0,691200.0,1.79,-1.2,-0.875,7.85,8.725,0.0,87.12,0.4,-0.03724928366762177
Cleveland Corral,mid_P1,mid_P1_002_1997-11-25,1997-11-25,1997-11-26,train,9.0,777600.0,1.79,-1.3,-0.875,7.85,8.725,6.859999999999985,87.12,0.4,-0.048710601719197714
