Pi,B0,B1,chi_q,R_g,case
0.0001,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00010863536378741002,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0001180164226522293,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00012820757007713678,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0001392787601562962,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00015130598777438666,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00016437181025083926,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00017856591402995074,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00019398573030675082,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00021073710381440283,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00022893501936382867,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00024870439112267313,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.000270180920051379,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00029351202538198704,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0003188578565335172,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0003463923924099247,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00037630463562643456,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00040879990986166496,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00044410126924082443,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00048245102942427536,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0005241124309111661,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0005693714459753834,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0006185387416369951,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0006719518121434184,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0007299772955980967,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0007930134906384898,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0008614930904383629,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0009358861528011178,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0010167033267314903,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0011044993576334544,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0011998768951947114,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0013034906300958566,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.001416051787939437,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0015383330112461312,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0016711736630290555,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0018154855883510022,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0019722593734131126,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.002142571145138628,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.002327589957925428,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.002528585818271515,0.0,0.0,0.5,0.9999999999999999,symmetric Robin uniform source
0.002746938402356119,0.0,0.0,0.5,0.9999999999999999,symmetric Robin uniform source
0.0029841465264156385,0.0,0.0,0.5,0.9999999999999998,symmetric Robin uniform source
0.0032418384349209924,0.0,0.0,0.5,0.9999999999999998,symmetric Robin uniform source
0.003521782977176503,0.0,0.0,0.5,0.9999999999999997,symmetric Robin uniform source
0.0038259017490587734,0.0,0.0,0.5,0.9999999999999997,symmetric Robin uniform source
0.004156282283238882,0.0,0.0,0.5,0.9999999999999996,symmetric Robin uniform source
0.004515192378428235,0.0,0.0,0.5,0.9999999999999996,symmetric Robin uniform source
0.004905095666006929,0.0,0.0,0.5,0.9999999999999992,symmetric Robin uniform source
0.00532866852088711,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.005788818432690913,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.0062887039633464275,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.00683175642809467,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.007421703448730414,0.0,0.0,0.5,0.999999999999999,symmetric Robin uniform source
0.00806259454075104,0.0,0.0,0.5,0.999999999999999,symmetric Robin uniform source
0.008758828910048764,0.0,0.0,0.5,0.999999999999999,symmetric Robin uniform source
0.009515185649948323,0.0,0.0,0.5,0.9999999999999988,symmetric Robin uniform source
0.010336856545868797,0.0,0.0,0.5,0.9999999999999987,symmetric Robin uniform source
0.011229481712787273,0.0,0.0,0.5,0.9999999999999986,symmetric Robin uniform source
0.01219918831012715,0.0,0.0,0.5,0.9999999999999982,symmetric Robin uniform source
0.01325263259981784,0.0,0.0,0.5,0.999999999999998,symmetric Robin uniform source
0.014397045636221005,0.0,0.0,0.5,0.9999999999999978,symmetric Robin uniform source
0.01564028290154813,0.0,0.0,0.5,0.9999999999999977,symmetric Robin uniform source
0.016990878227476913,0.0,0.0,0.5,0.9999999999999976,symmetric Robin uniform source
0.01845810237309541,0.0,0.0,0.5,0.9999999999999972,symmetric Robin uniform source
0.02005202666126476,0.0,0.0,0.5,0.999999999999997,symmetric Robin uniform source
0.021783592110213423,0.0,0.0,0.5,0.9999999999999967,symmetric Robin uniform source
0.02366468453489592,0.0,0.0,0.5,0.9999999999999964,symmetric Robin uniform source
