dataset,scale,validation,held_out_record,model,n,mae,rmse,bias,spearman
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.005cms.txt,M0_drained,2496,0.2598579365807886,0.3800387271158841,-0.2582948947432837,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.005cms.txt,M1_undrained,2496,0.7418791307141546,0.7923633286701839,0.7417051052567163,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.005cms.txt,M4_constant_source,2496,0.06255444830983521,0.07267239513595171,0.02448055296888635,0.9906501849406564
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.005cms.txt,M5_single_boundary_proxy,2496,0.06090773140597079,0.07160933688215715,0.022053489656686954,0.9906501849406564
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.1cms.txt,M0_drained,2506,0.2767505110822155,0.3916885521842832,-0.2754752032848766,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.1cms.txt,M1_undrained,2506,0.724575367261326,0.7761890976704495,0.7245247967151234,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.1cms.txt,M4_constant_source,2506,0.050824911325893146,0.06426826868459144,0.0011478120022063117,0.9952631922671787
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_0.1cms.txt,M5_single_boundary_proxy,2506,0.04993721678683804,0.06413360224874519,-0.0012542943270298845,0.9952631922671787
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_5.497cms.txt,M0_drained,5243,0.24886116477064446,0.3767630625479089,-0.24795123891022003,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_5.497cms.txt,M1_undrained,5243,0.7521504465687284,0.8037710665855293,0.75204876108978,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_5.497cms.txt,M4_constant_source,5243,0.1069953255524455,0.14365780276241724,-0.10543612185154613,0.9954347209558374
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_5.497cms.txt,M5_single_boundary_proxy,5243,0.10842496929087712,0.14536316688853826,-0.10691257966660142,0.9954347209558374
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_controlled shear stress_gouge.txt,M0_drained,4295,0.23659325572820952,0.34961630327450044,-0.23602267424969187,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_controlled shear stress_gouge.txt,M1_undrained,4295,0.764026849857006,0.8063412497298793,0.7639773257503082,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_controlled shear stress_gouge.txt,M4_constant_source,4295,0.0696792369130175,0.09612664481895736,-0.06124038041401096,0.9976604285240397
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_100kPa_controlled shear stress_gouge.txt,M5_single_boundary_proxy,4295,0.07128553280376412,0.0977231440248394,-0.06300468792875952,0.9976604285240397
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_200kPa_0.001cms.txt,M0_drained,2667,0.23668137249493265,0.3497300677523313,-0.23578202698849524,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_200kPa_0.001cms.txt,M1_undrained,2667,0.7643763166671796,0.8066889526410163,0.7642179730115046,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_200kPa_0.001cms.txt,M4_constant_source,2667,0.037900415435939645,0.044700781182164064,0.012508727395061016,0.994057753851303
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_200kPa_0.001cms.txt,M5_single_boundary_proxy,2667,0.03656498632781236,0.04401081198622448,0.010241175134902133,0.994057753851303
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_0.001cms.txt,M0_drained,3236,0.1934319300370252,0.31966290070074055,-0.1924310768932205,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_0.001cms.txt,M1_undrained,3236,0.8076214707761534,0.8469487684021806,0.8075689231067795,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_0.001cms.txt,M4_constant_source,3236,0.03893725946487519,0.08764784864416633,-0.0063192606480701186,0.9869168620149303
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_0.001cms.txt,M5_single_boundary_proxy,3236,0.038305686065079204,0.08796160590344777,-0.008175283764127662,0.9869168620149303
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_0.01cms.txt,M0_drained,4931,0.11142423324866631,0.2282494928710946,-0.11053872153901596,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_0.01cms.txt,M1_undrained,4931,0.8897009866121208,0.9116031965268002,0.889461278460984,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_0.01cms.txt,M4_constant_source,4931,0.03073885024204708,0.045537362369764973,0.02222365490634625,0.9723592375291714
