boundary_condition,source_shape,Pi,R_shape,R_constant_double
double,front_loaded,0.004418,0.8799979289046236,0.8999984652811518
double,front_loaded,0.02,0.7446764547426784,0.7872307885451506
double,front_loaded,0.1126,0.40239885219389787,0.5000262037199309
double,front_loaded,0.5,0.06382423935553308,0.16548535868875205
double,front_loaded,0.8331,0.023953036460741192,0.10000153108274755
double,front_loaded,2.4,0.002892527657449636,0.034722222214752387
double,constant,0.004418,0.9000017068655057,0.8999984652811518
double,constant,0.02,0.7872383955143106,0.7872307885451506
double,constant,0.1126,0.5000451662204932,0.5000262037199309
double,constant,0.5,0.16552633210577863,0.16548535868875205
double,constant,0.8331,0.10005462323354684,0.10000153108274755
double,constant,2.4,0.034812779440244065,0.034722222214752387
double,middle_pulse,0.004418,0.8971354787225954,0.8999984652811518
double,middle_pulse,0.02,0.7811464013510484,0.7872307885451506
double,middle_pulse,0.1126,0.4841310899457199,0.5000262037199309
double,middle_pulse,0.5,0.12106294483910866,0.16548535868875205
double,middle_pulse,0.8331,0.054560904217773515,0.10000153108274755
double,middle_pulse,2.4,0.007945591832802166,0.034722222214752387
double,back_loaded,0.004418,0.9200054848263873,0.8999984652811518
double,back_loaded,0.02,0.8298003362859432,0.7872307885451506
double,back_loaded,0.1126,0.5976914802470884,0.5000262037199309
double,back_loaded,0.5,0.267228424856024,0.16548535868875205
double,back_loaded,0.8331,0.17615621000635248,0.10000153108274755
double,back_loaded,2.4,0.06673303122303846,0.034722222214752387
single,front_loaded,0.004418,0.9399989644523117,0.8999984652811518
single,front_loaded,0.02,0.8723382222389615,0.7872307885451506
single,front_loaded,0.1126,0.6970897635221188,0.5000262037199309
single,front_loaded,0.5,0.37381992040702666,0.16548535868875205
single,front_loaded,0.8331,0.234138552648316,0.10000153108274755
single,front_loaded,2.4,0.045437545092996766,0.034722222214752387
single,constant,0.004418,0.9500005360106628,0.8999984652811518
single,constant,0.02,0.8936188776129323,0.7872307885451506
single,constant,0.1126,0.7475842028719162,0.5000262037199309
single,constant,0.5,0.4753530133470778,0.16548535868875205
single,constant,0.8331,0.3496579388123076,0.10000153108274755
single,constant,2.4,0.13856694106418144,0.034722222214752387
single,middle_pulse,0.004418,0.9485645986775082,0.8999984652811518
single,middle_pulse,0.02,0.8905700591538833,0.7872307885451506
single,middle_pulse,0.1126,0.7403575688485445,0.5000262037199309
single,middle_pulse,0.5,0.45810493245279527,0.16548535868875205
single,middle_pulse,0.8331,0.3233209466613729,0.10000153108274755
single,middle_pulse,2.4,0.09253568629981028,0.034722222214752387
single,back_loaded,0.004418,0.9600021075690139,0.8999984652811518
single,back_loaded,0.02,0.9148995329869031,0.7872307885451506
single,back_loaded,0.1126,0.7980786422217137,0.5000262037199309
single,back_loaded,0.5,0.5768861062871291,0.16548535868875205
single,back_loaded,0.8331,0.4651773249762993,0.10000153108274755
single,back_loaded,2.4,0.23169633703536602,0.034722222214752387
